#um  Transmission
0.50000000   0.99999913
0.50100000   0.99981796
0.50200000   0.99671146
0.50300000   0.99879923
0.50400000   0.99951599
0.50500000   0.99971549
0.50600000   0.99982168
0.50700000   0.99964348
0.50800000   0.99957000
0.50900000   0.99997591
0.51000000   0.99832497
0.51100000   0.99999141
0.51200000   0.99999312
0.51300000   0.99999850
0.51400000   0.99974449
0.51500000   0.99999997
0.51600000   0.99999997
0.51700000   1.0000000
0.51800000   1.0000000
0.51900000   0.99999999
0.52000000   1.0000000
0.52100000   1.0000000
0.52200000   0.99999993
0.52300000   0.99999979
0.52400000   0.99990334
0.52500000   0.99996324
0.52600000   0.99999418
0.52700000   0.99999688
0.52800000   0.99999834
0.52900000   0.99999670
0.53000000   0.99999358
0.53100000   0.99913053
0.53200000   0.99998003
0.53300000   0.99999960
0.53400000   0.99999991
0.53500000   0.99999957
0.53600000   0.99999712
0.53700000   0.99999658
0.53800000   0.99999846
0.53900000   0.99991130
0.54000000   0.99914126
0.54100000   0.99992737
0.54200000   0.99976220
0.54300000   0.99983084
0.54400000   0.99996399
0.54500000   0.99990011
0.54600000   0.99813217
0.54700000   0.99997124
0.54800000   0.99996087
0.54900000   0.99998683
0.55000000   0.99998970
0.55100000   0.99993135
0.55200000   0.99990584
0.55300000   0.99999962
0.55400000   0.99999992
0.55500000   0.99999997
0.55600000   1.0000000
0.55700000   1.0000000
0.55800000   0.99999768
0.55900000   0.99999969
0.56000000   0.99999130
0.56100000   0.99999643
0.56200000   0.99974725
0.56300000   0.99998291
0.56400000   0.99999570
0.56500000   0.99999778
0.56600000   0.99999861
0.56700000   0.99998555
0.56800000   0.99998563
0.56900000   0.99975663
0.57000000   0.99945575
0.57100000   0.99913755
0.57200000   0.99984949
0.57300000   0.99926133
0.57400000   0.99956437
0.57500000   0.99996452
0.57600000   0.99911201
0.57700000   0.99963633
0.57800000   0.99995895
0.57900000   0.99996030
0.58000000   0.99992742
0.58100000   0.99999475
0.58200000   0.99994098
0.58300000   0.99993948
0.58400000   0.99995947
0.58500000   0.99997414
0.58600000   0.99997626
0.58700000   0.99993995
0.58800000   0.99989170
0.58900000   0.99929091
0.59000000   0.99465383
0.59100000   0.99399667
0.59200000   0.96027363
0.59300000   0.99112475
0.59400000   0.99886127
0.59500000   0.99898794
0.59600000   0.99610551
0.59700000   0.98890386
0.59800000   0.99831784
0.59900000   0.99968689
0.60000000   0.99818379
0.60100000   0.99953302
0.60200000   0.99986469
0.60300000   0.99995366
0.60400000   0.99999699
0.60500000   0.99972008
0.60600000   0.99962073
0.60700000   0.99999969
0.60800000   0.99999992
0.60900000   0.99999854
0.61000000   0.99999065
0.61100000   0.99999988
0.61200000   0.99999999
0.61300000   1.0000000
0.61400000   1.0000000
0.61500000   1.0000000
0.61600000   0.99999756
0.61700000   0.99999970
0.61800000   0.99999997
0.61900000   0.99999996
0.62000000   0.99999993
0.62100000   0.99999992
0.62200000   0.99999987
0.62300000   0.99999883
0.62400000   0.99998350
0.62500000   0.99930714
0.62600000   0.99994223
0.62700000   0.99992622
0.62800000   0.99564278
0.62900000   0.99979040
0.63000000   0.99894369
0.63100000   0.99986079
0.63200000   0.99964763
0.63300000   0.99995737
0.63400000   0.99990829
0.63500000   0.99997077
0.63600000   0.99967342
0.63700000   0.99976836
0.63800000   0.99989621
0.63900000   0.99898009
0.64000000   0.99997976
0.64100000   0.99933396
0.64200000   0.99993874
0.64300000   0.99998473
0.64400000   0.99958169
0.64500000   0.99982538
0.64600000   0.99976693
0.64700000   0.99921000
0.64800000   0.99810909
0.64900000   0.99890025
0.65000000   0.99974796
0.65100000   0.99948266
0.65200000   0.99874977
0.65300000   0.99991227
0.65400000   0.99961220
0.65500000   0.99899605
0.65600000   0.99222375
0.65700000   0.99916981
0.65800000   0.99991971
0.65900000   0.99988209
0.66000000   0.99996570
0.66100000   0.99999072
0.66200000   0.99886806
0.66300000   0.99809063
0.66400000   0.99991513
0.66500000   0.99995174
0.66600000   0.99999092
0.66700000   0.99999831
0.66800000   0.99999429
0.66900000   0.99998900
0.67000000   0.99999964
0.67100000   0.99999984
0.67200000   0.99999991
0.67300000   0.99999985
0.67400000   0.99999878
0.67500000   0.99999991
0.67600000   0.99992470
0.67700000   0.99999966
0.67800000   0.99999973
0.67900000   0.99999632
0.68000000   0.99999791
0.68100000   0.99953099
0.68200000   0.99999465
0.68300000   0.99998275
0.68400000   0.99996561
0.68500000   0.99995367
0.68600000   0.99959974
0.68700000   4.9827950e-06
0.68800000   0.99133769
0.68900000   0.99516744
0.69000000   0.99719071
0.69100000   0.99572306
0.69200000   0.71532598
0.69300000   0.99941200
0.69400000   0.99473589
0.69500000   0.99700782
0.69600000   0.99865091
0.69700000   0.99938324
0.69800000   0.99941157
0.69900000   0.99774839
0.70000000   0.98367540
0.70100000   0.99863576
0.70200000   0.99942490
0.70300000   0.99560412
0.70400000   0.99907490
0.70500000   0.99411152
0.70600000   0.99706211
0.70700000   0.99831085
0.70800000   0.99554204
0.70900000   0.99015394
0.71000000   0.99418098
0.71100000   0.99935499
0.71200000   0.99899092
0.71300000   0.99097918
0.71400000   0.99400730
0.71500000   0.99863687
0.71600000   0.99935537
0.71700000   0.92520877
0.71800000   0.99138304
0.71900000   0.99031065
0.72000000   0.97375968
0.72100000   0.99571733
0.72200000   0.81654335
0.72300000   0.98871033
0.72400000   0.97699111
0.72500000   0.99718699
0.72600000   0.84090874
0.72700000   0.98795087
0.72800000   0.92429391
0.72900000   0.96357652
0.73000000   0.99519434
0.73100000   0.99681956
0.73200000   0.96872183
0.73300000   0.99639998
0.73400000   0.99918715
0.73500000   0.97711920
0.73600000   0.99826173
0.73700000   0.99888690
0.73800000   0.99170951
0.73900000   0.99983644
0.74000000   0.99917579
0.74100000   0.99895063
0.74200000   0.99543164
0.74300000   0.99978613
0.74400000   0.99937066
0.74500000   0.99984860
0.74600000   0.99990679
0.74700000   0.99965513
0.74800000   0.99998696
0.74900000   0.99999654
0.75000000   0.99998044
0.75100000   0.99997647
0.75200000   0.99999679
0.75300000   0.99994659
0.75400000   0.99999787
0.75500000   0.99988993
0.75600000   0.99999911
0.75700000   0.99999981
0.75800000   0.99999943
0.75900000   0.99896172
0.76000000   0.88017178
0.76100000   1.3288796e-31
0.76200000   0.98449850
0.76300000   0.61104816
0.76400000   0.96029060
0.76500000   0.97718768
0.76600000   0.99335089
0.76700000   0.99810199
0.76800000   0.98760442
0.76900000   0.99978782
0.77000000   0.99989492
0.77100000   0.99999377
0.77200000   0.99995219
0.77300000   0.99998859
0.77400000   0.99999652
0.77500000   0.99999894
0.77600000   0.99999907
0.77700000   0.99999873
0.77800000   0.99999869
0.77900000   0.99998405
0.78000000   0.99999846
0.78100000   0.99999779
0.78200000   0.99927771
0.78300000   0.99988922
0.78400000   0.99997522
0.78500000   0.99996762
0.78600000   0.99994461
0.78700000   0.99984331
0.78800000   0.99983344
0.78900000   0.99968224
0.79000000   0.99975793
0.79100000   0.99934623
0.79200000   0.99735245
0.79300000   0.99908012
0.79400000   0.99988587
0.79500000   0.98392892
0.79600000   0.99773959
0.79700000   0.99804418
0.79800000   0.99956968
0.79900000   0.99940992
0.80000000   0.99757954
0.80100000   0.97152949
0.80200000   0.99849080
0.80300000   0.90161485
0.80400000   0.99547066
0.80500000   0.99984128
0.80600000   0.99988770
0.80700000   0.99886694
0.80800000   0.99979022
0.80900000   0.99934553
0.81000000   0.99895254
0.81100000   0.95380067
0.81200000   0.99866920
0.81300000   0.99860607
0.81400000   0.99794397
0.81500000   0.99068701
0.81600000   0.96002534
0.81700000   0.98431323
0.81800000   0.92935431
0.81900000   0.98491834
0.82000000   0.15248468
0.82100000   0.99851472
0.82200000   0.98348063
0.82300000   0.91981129
0.82400000   0.99458097
0.82500000   0.99743036
0.82600000   0.98650355
0.82700000   0.99890257
0.82800000   0.99245678
0.82900000   0.90416616
0.83000000   0.99782355
0.83100000   0.99369568
0.83200000   0.98755150
0.83300000   0.99885841
0.83400000   0.99604723
0.83500000   0.99853305
0.83600000   0.99325797
0.83700000   0.99670426
0.83800000   0.99867863
0.83900000   0.98497689
0.84000000   0.98864810
0.84100000   0.99882325
0.84200000   0.99410600
0.84300000   0.99492695
