SpT,Gaia BP-RP,G - 65/35 color,G - Ha/IR color,SpT Number
O5V,-1.7532864681297404,-0.913168607991345,-1.1443593022930152,0.5
O9V,-1.7591234538463922,-0.8765329992833699,-1.1229287840581108,0.9
B0V,-1.6914779464618874,-0.8582647733124666,-1.1155049901804048,1.0
B1V,-1.576875801507171,-0.8167442952120858,-1.0746391784390141,1.1
B3V,-1.5223633572979445,-0.7693099735462994,-0.9739993635953539,1.3
B57V,-1.4145217020085532,-0.7087850803915394,-0.9197040328695998,1.6
B8V,-1.3782872424798853,-0.7386849234088615,-0.9136194196493967,1.8
B9V,-1.3334429831369405,-0.7709710104739003,-0.94533824769373,1.9
A0V,-1.2991716970900953,-0.6806704266933927,-0.8827095168710883,2.0
A2V,-1.243092682601194,-0.669132108428542,-0.8530215857442798,2.2
A3V,-1.188863476666537,-0.6409097657877147,-0.8220822746370544,2.3
A5V,-1.1229167163947302,-0.6242897989941909,-0.7662893661639494,2.5
A7V,-1.0195926370895307,-0.5738326968074183,-0.7380648300215853,2.7
F0V,-0.8358269852903355,-0.49368246647774683,-0.6513111258731179,3.0
F2V,-0.764431592486158,-0.46390563767977966,-0.5889593506421207,3.2
F5V,-0.6673397443073448,-0.43682706260830173,-0.5685484157498948,3.5
F6V,-0.5343924392043427,-0.3873829184413502,-0.4881928491938794,3.6
F8V,-0.4326573505151927,-0.3092745492646465,-0.41512233141524746,3.8
G0V,-0.3069044340409057,-0.3254063922783317,-0.43502550875360413,4.0
G2V,-0.33338916248212414,-0.31876584914954975,-0.4334898613033573,4.2
G5V,-0.29221661438522517,-0.3455638426693426,-0.45259206875719116,4.5
G8V,-0.13301692949210775,-0.28465241871227676,-0.36377160642409834,4.8
K0V,0.01658256053842777,-0.3246726830365958,-0.398000039908073,5.0
K2V,0.19611231277162489,-0.274917518990474,-0.3307364424504762,5.2
K3V,0.5408852906321293,-0.1546103646175787,-0.25398319930981117,5.3
K4V,0.704193469225558,-0.09356351611522484,-0.1459599805894385,5.4
K5V,0.8573845860880596,-0.032462519899443265,-0.11730028188685893,5.5
K7V,1.0974655745622748,0.1661332728983531,0.14229635539253138,5.7
M0V,1.1457698465251518,0.28242990490358366,0.304490233867341,6.0
M1V,1.3163847974653393,0.44229893660283537,0.49794550764251966,6.1
M2V,1.5187573102515621,0.4906852918394158,0.5391408421665069,6.2
M2.5V,1.6177334973657125,0.7009609428726655,0.8147142145965915,6.2
M3V,1.8203380951958437,0.8957352693161802,1.048386521585634,6.3
M4V,2.207077627578915,1.1386019699926635,1.3502434145710254,6.4
M5V,2.366078506011476,1.3517032839880514,1.712597509251271,6.5
M6V,2.892389795135255,1.7177004038817287,2.2772022296308236,6.6
O8III,-1.738089487751541,-0.9075829706766427,-1.1804071313081543,0.8
B12III,-1.6153855063877565,-0.804069640145542,-1.0284177542053747,1.1
B3III,-1.5358043071410066,-0.7448523592891725,-0.9697305421266265,1.3
B5III,-1.4526187300863285,-0.7128840341354774,-0.9336390767597003,1.5
B9III,-1.3835645524765567,-0.7367857979378556,-0.957987814814004,1.9
A0III,-1.2926801684529607,-0.7250443281884742,-0.9081940236654162,2.0
A3III,-1.2156368528723434,-0.6872875228763995,-0.8748254479446196,2.3
A5III,-1.1339929111290878,-0.6217311981483142,-0.7597962611072369,2.5
A7III,-1.0047129838794682,-0.5856345466023463,-0.7408616938125867,2.7
F0III,-0.9401350549352081,-0.5286747918992525,-0.6382163021045315,3.0
F2III,-0.7365172125360964,-0.5017840002646388,-0.6315760003514725,3.2
F5III,-0.669229010001807,-0.43965897665983533,-0.5717003829467515,3.5
G0III,-0.3511058617179117,-0.3464093106842405,-0.432468976150318,4.0
G5III,-0.08638034581701959,-0.28375217474890846,-0.3332791813405471,4.5
G8III,-0.09497022982399272,-0.2709767396870859,-0.30785221759220605,4.8
K0III,0.05931800510525065,-0.23772864758558043,-0.28195910952597814,5.0
K1III,0.261278245146233,-0.23243921193056494,-0.24663287215722107,5.1
K2III,0.3310710386346898,-0.16344134611426497,-0.20437885588356153,5.2
K3III,0.45185309825728126,-0.1465240311538345,-0.158840153097362,5.3
K4III,0.639344201154973,-0.0888911051785719,-0.041895707023702045,5.4
K5III,1.0175543420493725,0.03684145780532333,0.06075327424644783,5.5
M0III,1.0930628631636665,0.17282592953703357,0.17197479934968385,6.0
M1III,1.2485762038730783,0.23858803124669592,0.2680995946238873,6.1
M2III,1.382548260869651,0.27875040181439914,0.33503585463692076,6.2
M3III,1.6068561743474987,0.47080047092184785,0.5955651773401804,6.3
M4III,1.9392551222897865,0.6889734959049605,0.9651753158934255,6.4
M5III,2.3137928389659486,0.9452170981945613,1.361528770147757,6.5
M6III,2.8619888950140755,1.167730556582189,1.838462860603471,6.6
M7III,3.6905181439059724,1.4456348053521815,2.439191533864175,6.7
M8III,4.309957782377442,1.5654002376409188,2.786292655433371,6.8
M9III,4.147217873776803,1.4286486052512792,2.6738329203470705,6.9
M10III,4.413302548559017,1.540156799314115,3.1019998435686844,7.0
