#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci-ch4_bs-65-35_atm.dat
#
# Science CH4 bandpass with 65/35 B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  8.74979e-07 [central wavelength, in m]
#    w_eff:     2.56456e-08 [effective width, in m]
#    FWHM:      2.50581e-08 [full-width at half max., in m]
#    Trans_max: 0.0430746 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00876218 [W/m^3 above atm]
#    f_nu_0:     2237.12 [Jy above atm]
#    f_phot_0:   3.85884e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 6.82951e-09 [W at telescope aperture]
#    F_phot_0:   1.29555e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  8.063e-07          0
  8.064e-07          1.32826e-05
  8.065e-07          2.65653e-05
  8.066e-07          3.98481e-05
  8.067e-07          5.3131e-05
  8.068e-07          6.64091e-05
  8.069e-07          7.96853e-05
  8.07e-07          7.97909e-05
  8.071e-07          7.99007e-05
  8.072e-07          8.00106e-05
  8.073e-07          8.01203e-05
  8.074e-07          8.02301e-05
  8.075e-07          8.03848e-05
  8.076e-07          8.05232e-05
  8.077e-07          8.06617e-05
  8.078e-07          8.07641e-05
  8.079e-07          8.08666e-05
  8.08e-07          8.09608e-05
  8.081e-07          8.10429e-05
  8.082e-07          8.11372e-05
  8.083e-07          8.12483e-05
  8.084e-07          8.13593e-05
  8.085e-07          8.14821e-05
  8.086e-07          8.16049e-05
  8.087e-07          8.17277e-05
  8.088e-07          8.18505e-05
  8.089e-07          8.19694e-05
  8.09e-07          8.20883e-05
  8.091e-07          8.22077e-05
  8.092e-07          8.22777e-05
  8.093e-07          8.23476e-05
  8.094e-07          8.24173e-05
  8.095e-07          8.25231e-05
  8.096e-07          8.2629e-05
  8.097e-07          8.27349e-05
  8.098e-07          8.28408e-05
  8.099e-07          8.29494e-05
  8.1e-07          8.30579e-05
  8.101e-07          8.27416e-05
  8.102e-07          8.24243e-05
  8.103e-07          8.21059e-05
  8.104e-07          8.17865e-05
  8.105e-07          8.14661e-05
  8.106e-07          8.11447e-05
  8.107e-07          8.08161e-05
  8.108e-07          8.04865e-05
  8.109e-07          8.01721e-05
  8.11e-07          7.98805e-05
  8.111e-07          8.04339e-05
  8.112e-07          8.09888e-05
  8.113e-07          8.15451e-05
  8.114e-07          8.1949e-05
  8.115e-07          8.2336e-05
  8.116e-07          8.2863e-05
  8.117e-07          8.33911e-05
  8.118e-07          8.39203e-05
  8.119e-07          8.44506e-05
  8.12e-07          8.4982e-05
  8.121e-07          8.50738e-05
  8.122e-07          8.51823e-05
  8.123e-07          8.52907e-05
  8.124e-07          8.54288e-05
  8.125e-07          8.55669e-05
  8.126e-07          8.5705e-05
  8.127e-07          8.58433e-05
  8.128e-07          8.59387e-05
  8.129e-07          8.60341e-05
  8.13e-07          8.61295e-05
  8.131e-07          8.6137e-05
  8.132e-07          8.61441e-05
  8.133e-07          8.61512e-05
  8.134e-07          8.61995e-05
  8.135e-07          8.62621e-05
  8.136e-07          8.63246e-05
  8.137e-07          8.64163e-05
  8.138e-07          8.6508e-05
  8.139e-07          8.65997e-05
  8.14e-07          8.66913e-05
  8.141e-07          8.67343e-05
  8.142e-07          8.67899e-05
  8.143e-07          8.68453e-05
  8.144e-07          8.69005e-05
  8.145e-07          8.69556e-05
  8.146e-07          8.70038e-05
  8.147e-07          8.70518e-05
  8.148e-07          8.70826e-05
  8.149e-07          8.71037e-05
  8.15e-07          8.71247e-05
  8.151e-07          8.69086e-05
  8.152e-07          8.66919e-05
  8.153e-07          8.64341e-05
  8.154e-07          8.61757e-05
  8.155e-07          8.59558e-05
  8.156e-07          8.57785e-05
  8.157e-07          8.56002e-05
  8.158e-07          8.54369e-05
  8.159e-07          8.52726e-05
  8.16e-07          8.50477e-05
  8.161e-07          8.53695e-05
  8.162e-07          8.56918e-05
  8.163e-07          8.60182e-05
  8.164e-07          8.63364e-05
  8.165e-07          8.6655e-05
  8.166e-07          8.6974e-05
  8.167e-07          8.72358e-05
  8.168e-07          8.75262e-05
  8.169e-07          8.78255e-05
  8.17e-07          8.81861e-05
  8.171e-07          8.77536e-05
  8.172e-07          8.73196e-05
  8.173e-07          8.68842e-05
  8.174e-07          8.64209e-05
  8.175e-07          8.59565e-05
  8.176e-07          8.5491e-05
  8.177e-07          8.50346e-05
  8.178e-07          8.45771e-05
  8.179e-07          8.41183e-05
  8.18e-07          8.36582e-05
  8.181e-07          8.43253e-05
  8.182e-07          8.49938e-05
  8.183e-07          8.56637e-05
  8.184e-07          8.63351e-05
  8.185e-07          8.7028e-05
  8.186e-07          8.77227e-05
  8.187e-07          8.84031e-05
  8.188e-07          8.90437e-05
  8.189e-07          8.96851e-05
  8.19e-07          9.03275e-05
  8.191e-07          8.24966e-05
  8.192e-07          7.46598e-05
  8.193e-07          6.68069e-05
  8.194e-07          5.8949e-05
  8.195e-07          5.10585e-05
  8.196e-07          4.31533e-05
  8.197e-07          3.52334e-05
  8.198e-07          2.72959e-05
  8.199e-07          1.93454e-05
  8.2e-07          1.138e-05
  8.201e-07          1.95043e-05
  8.202e-07          2.76478e-05
  8.203e-07          3.58047e-05
  8.204e-07          4.3975e-05
  8.205e-07          5.21588e-05
  8.206e-07          6.03513e-05
  8.207e-07          6.85678e-05
  8.208e-07          7.67993e-05
  8.209e-07          8.50523e-05
  8.21e-07          9.33215e-05
  8.211e-07          9.32641e-05
  8.212e-07          9.32063e-05
  8.213e-07          9.31367e-05
  8.214e-07          9.30667e-05
  8.215e-07          9.29963e-05
  8.216e-07          9.29589e-05
  8.217e-07          9.2921e-05
  8.218e-07          9.28828e-05
  8.219e-07          9.27843e-05
  8.22e-07          9.26855e-05
  8.221e-07          9.20698e-05
  8.222e-07          9.14533e-05
  8.223e-07          9.08573e-05
  8.224e-07          9.02602e-05
  8.225e-07          8.9662e-05
  8.226e-07          8.90627e-05
  8.227e-07          8.84221e-05
  8.228e-07          8.7781e-05
  8.229e-07          8.71392e-05
  8.23e-07          8.64969e-05
  8.231e-07          8.72801e-05
  8.232e-07          8.80629e-05
  8.233e-07          8.88454e-05
  8.234e-07          8.96884e-05
  8.235e-07          9.05323e-05
  8.236e-07          9.1394e-05
  8.237e-07          9.2257e-05
  8.238e-07          9.31023e-05
  8.239e-07          9.39484e-05
  8.24e-07          9.48026e-05
  8.241e-07          9.48912e-05
  8.242e-07          9.49796e-05
  8.243e-07          9.5068e-05
  8.244e-07          9.51563e-05
