#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci-halpha_bs-halpha-ir.dat
#
# Science H-alpha bandpass with H-alpha/IR B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  6.56423e-07 [central wavelength, in m]
#    w_eff:     8.53271e-09 [effective width, in m]
#    FWHM:      8.47092e-09 [full-width at half max., in m]
#    Trans_max: 0.229925 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0178811 [W/m^3 above atm]
#    f_nu_0:     2569.79 [Jy above atm]
#    f_phot_0:   5.90848e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 4.63708e-09 [W at telescope aperture]
#    F_phot_0:   3.523e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  6.4e-07          0
  6.401e-07          1.51298e-06
  6.402e-07          3.03313e-06
  6.403e-07          3.33776e-06
  6.404e-07          3.64366e-06
  6.405e-07          3.73421e-06
  6.406e-07          3.82502e-06
  6.407e-07          3.83221e-06
  6.408e-07          3.84059e-06
  6.409e-07          3.84896e-06
  6.41e-07          3.85628e-06
  6.411e-07          3.85906e-06
  6.412e-07          3.8629e-06
  6.413e-07          3.86509e-06
  6.414e-07          3.86823e-06
  6.415e-07          3.9113e-06
  6.416e-07          4.06434e-06
  6.417e-07          4.38929e-06
  6.418e-07          4.83396e-06
  6.419e-07          5.10991e-06
  6.42e-07          5.32845e-06
  6.421e-07          5.66989e-06
  6.422e-07          5.91379e-06
  6.423e-07          6.15767e-06
  6.424e-07          6.44616e-06
  6.425e-07          6.73464e-06
  6.426e-07          7.02356e-06
  6.427e-07          7.31246e-06
  6.428e-07          7.83309e-06
  6.429e-07          8.2751e-06
  6.43e-07          8.68354e-06
  6.431e-07          9.1736e-06
  6.432e-07          9.55018e-06
  6.433e-07          9.94411e-06
  6.434e-07          1.0349e-05
  6.435e-07          1.07759e-05
  6.436e-07          1.13713e-05
  6.437e-07          1.18368e-05
  6.438e-07          1.23199e-05
  6.439e-07          1.28202e-05
  6.44e-07          1.33487e-05
  6.441e-07          1.40961e-05
  6.442e-07          1.50777e-05
  6.443e-07          1.57698e-05
  6.444e-07          1.64607e-05
  6.445e-07          1.71534e-05
  6.446e-07          1.78449e-05
  6.447e-07          1.8843e-05
  6.448e-07          2.00286e-05
  6.449e-07          2.1735e-05
  6.45e-07          2.28934e-05
  6.451e-07          2.37751e-05
  6.452e-07          2.48136e-05
  6.453e-07          2.59472e-05
  6.454e-07          2.75055e-05
  6.455e-07          2.87488e-05
  6.456e-07          3.02627e-05
  6.457e-07          3.1842e-05
  6.458e-07          3.35116e-05
  6.459e-07          3.60056e-05
  6.46e-07          3.80746e-05
  6.461e-07          4.32583e-05
  6.462e-07          4.75189e-05
  6.463e-07          5.18679e-05
