#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-halpha-cont_bs-halpha-ir_scibs-halpha_atm.dat
#
# Science H-alpha Continuum bandpass with H-alpha/IR B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  6.68052e-07 [central wavelength, in m]
#    w_eff:     8.62167e-09 [effective width, in m]
#    FWHM:      8.50348e-09 [full-width at half max., in m]
#    Trans_max: 0.218191 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0197911 [W/m^3 above atm]
#    f_nu_0:     2.9462e-23 [Jy above atm]
#    f_phot_0:   6.65584e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.18591e-09 [W at telescope aperture]
#    F_phot_0:   3.80535e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  6.515e-07          0
  6.516e-07          1.81441e-09
  6.517e-07          2.05314e-09
  6.518e-07          2.2284e-09
  6.519e-07          2.37077e-09
  6.52e-07          2.46948e-09
  6.521e-07          2.48656e-09
  6.522e-07          2.46089e-09
  6.523e-07          2.46066e-09
  6.524e-07          2.4602e-09
  6.525e-07          2.53079e-09
  6.526e-07          2.60014e-09
  6.527e-07          2.72639e-09
  6.528e-07          2.85113e-09
  6.529e-07          3.05304e-09
  6.53e-07          3.18002e-09
  6.531e-07          3.28981e-09
  6.532e-07          3.42631e-09
  6.533e-07          3.51944e-09
  6.534e-07          3.64046e-09
  6.535e-07          3.79083e-09
  6.536e-07          3.86654e-09
  6.537e-07          3.9439e-09
  6.538e-07          4.04612e-09
  6.539e-07          4.151e-09
  6.54e-07          4.2917e-09
  6.541e-07          4.43686e-09
  6.542e-07          4.6191e-09
  6.543e-07          4.92403e-09
  6.544e-07          5.07553e-09
  6.545e-07          5.2239e-09
  6.546e-07          5.3378e-09
  6.547e-07          5.44984e-09
  6.548e-07          5.67016e-09
  6.549e-07          5.81844e-09
  6.55e-07          6.09646e-09
  6.551e-07          6.38013e-09
  6.552e-07          6.54205e-09
  6.553e-07          6.84806e-09
  6.554e-07          7.16597e-09
  6.555e-07          7.49991e-09
  6.556e-07          7.79085e-09
  6.557e-07          8.09513e-09
  6.558e-07          8.58466e-09
  6.559e-07          8.91766e-09
  6.56e-07          9.26596e-09
  6.561e-07          9.90969e-09
  6.562e-07          1.38153e-08
  6.563e-07          3.4763e-08
  6.564e-07          5.79558e-08
  6.565e-07          6.96569e-08
  6.566e-07          8.23176e-08
  6.567e-07          8.64197e-08
  6.568e-07          9.05177e-08
  6.569e-07          9.55406e-08
  6.57e-07          1.01581e-07
  6.571e-07          1.10146e-07
  6.572e-07          1.1697e-07
  6.573e-07          1.77124e-07
  6.574e-07          1.88139e-07
  6.575e-07          2.46487e-07
  6.576e-07          2.85668e-07
  6.577e-07          3.76188e-07
