#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-ip_bs-65-35.dat
#
# Science (camssci1) i' bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  7.61686e-07 [central wavelength, in m]
#    w_eff:     1.29286e-07 [effective width, in m]
#    FWHM:      1.39995e-07 [full-width at half max., in m]
#    Trans_max: 0.0551944 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0134551 [W/m^3 above atm]
#    f_nu_0:     2564.63 [Jy above atm]
#    f_phot_0:   5.11288e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.28689e-08 [W at telescope aperture]
#    F_phot_0:   1.10885e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          2.22298e-08
  5.001e-07          2.52728e-08
  5.002e-07          2.83268e-08
  5.003e-07          3.13891e-08
  5.004e-07          3.44619e-08
  5.005e-07          3.75548e-08
  5.006e-07          3.22612e-08
  5.007e-07          2.69461e-08
  5.008e-07          2.16096e-08
  5.009e-07          1.6252e-08
  5.01e-07          1.08728e-08
  5.011e-07          1.37393e-08
  5.012e-07          1.66129e-08
  5.013e-07          1.94966e-08
  5.014e-07          2.23903e-08
  5.015e-07          2.5294e-08
  5.016e-07          2.20662e-08
  5.017e-07          1.88269e-08
  5.018e-07          1.55762e-08
  5.019e-07          1.2314e-08
  5.02e-07          9.04033e-09
  5.021e-07          1.22045e-08
  5.022e-07          1.53795e-08
  5.023e-07          1.85654e-08
  5.024e-07          2.17649e-08
  5.025e-07          2.4976e-08
  5.026e-07          2.66158e-08
  5.027e-07          2.8262e-08
  5.028e-07          2.99148e-08
  5.029e-07          3.15733e-08
  5.03e-07          3.32317e-08
  5.031e-07          3.3532e-08
  5.032e-07          3.3833e-08
  5.033e-07          3.41313e-08
  5.034e-07          3.44305e-08
  5.035e-07          3.47305e-08
  5.036e-07          3.73621e-08
  5.037e-07          4.00021e-08
  5.038e-07          4.26506e-08
  5.039e-07          4.53075e-08
  5.04e-07          4.79729e-08
  5.041e-07          4.33e-08
  5.042e-07          3.86114e-08
  5.043e-07          3.39069e-08
  5.044e-07          2.91925e-08
  5.045e-07          2.44634e-08
  5.046e-07          2.53081e-08
  5.047e-07          2.61558e-08
  5.048e-07          2.70013e-08
  5.049e-07          2.78497e-08
  5.05e-07          2.86974e-08
  5.051e-07          2.82762e-08
  5.052e-07          2.78537e-08
  5.053e-07          2.74298e-08
  5.054e-07          2.70106e-08
  5.055e-07          2.65898e-08
  5.056e-07          2.94069e-08
  5.057e-07          3.22335e-08
  5.058e-07          3.50615e-08
  5.059e-07          3.78978e-08
  5.06e-07          4.07424e-08
  5.061e-07          3.90079e-08
  5.062e-07          3.72681e-08
  5.063e-07          3.5523e-08
  5.064e-07          3.37725e-08
  5.065e-07          3.20166e-08
  5.066e-07          3.22318e-08
  5.067e-07          3.24476e-08
  5.068e-07          3.26638e-08
  5.069e-07          3.28937e-08
  5.07e-07          3.31242e-08
  5.071e-07          3.17282e-08
  5.072e-07          3.03269e-08
  5.073e-07          2.89203e-08
  5.074e-07          2.75084e-08
  5.075e-07          2.60828e-08
  5.076e-07          2.80736e-08
  5.077e-07          3.00703e-08
  5.078e-07          3.20728e-08
  5.079e-07          3.4081e-08
  5.08e-07          3.6095e-08
  5.081e-07          3.39752e-08
  5.082e-07          3.18491e-08
  5.083e-07          2.97166e-08
  5.084e-07          2.75777e-08
  5.085e-07          2.54325e-08
  5.086e-07          2.50922e-08
  5.087e-07          2.47507e-08
  5.088e-07          2.44081e-08
  5.089e-07          2.40644e-08
  5.09e-07          2.37196e-08
  5.091e-07          2.44176e-08
  5.092e-07          2.51173e-08
  5.093e-07          2.5819e-08
  5.094e-07          2.65225e-08
  5.095e-07          2.72277e-08
  5.096e-07          3.13981e-08
  5.097e-07          3.55833e-08
  5.098e-07          3.97807e-08
  5.099e-07          4.39903e-08
  5.1e-07          4.82122e-08
