#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-ip_bs-65-35_scibs-open.dat
#
# Science (camssci1) i' bandpass with 65/35 B/S, sci open, without atmosphere
#
# Characteristics:
#    lambda_0:  7.61664e-07 [central wavelength, in m]
#    w_eff:     1.29524e-07 [effective width, in m]
#    FWHM:      1.40137e-07 [full-width at half max., in m]
#    Trans_max: 0.11315 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0134569 [W/m^3 above atm]
#    f_nu_0:     2564.74 [Jy above atm]
#    f_phot_0:   5.11331e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.29734e-08 [W at telescope aperture]
#    F_phot_0:   2.27755e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          9.45534e-10
  3.707e-07          8.45685e-10
  3.708e-07          7.44956e-10
  3.709e-07          6.42683e-10
  3.71e-07          5.39731e-10
  3.711e-07          5.50935e-10
  3.712e-07          5.62065e-10
  3.713e-07          5.73686e-10
  3.714e-07          5.85394e-10
  3.715e-07          5.97189e-10
  3.716e-07          6.84613e-10
  3.717e-07          7.72765e-10
  3.718e-07          8.6179e-10
  3.719e-07          9.51579e-10
  3.72e-07          1.04134e-09
  3.721e-07          1.01039e-09
  3.722e-07          9.81722e-10
  3.723e-07          9.52651e-10
  3.724e-07          9.23169e-10
  3.725e-07          8.93275e-10
  3.726e-07          8.83227e-10
  3.727e-07          8.7359e-10
  3.728e-07          8.6608e-10
  3.729e-07          8.58318e-10
  3.73e-07          8.50301e-10
  3.731e-07          9.20946e-10
  3.732e-07          9.92686e-10
  3.733e-07          1.0607e-09
  3.734e-07          1.12983e-09
  3.735e-07          1.19953e-09
  3.736e-07          1.07367e-09
  3.737e-07          9.46689e-10
  3.738e-07          8.21046e-10
  3.739e-07          6.93504e-10
  3.74e-07          5.64046e-10
  3.741e-07          6.93003e-10
  3.742e-07          8.23588e-10
  3.743e-07          9.55811e-10
  3.744e-07          1.09103e-09
  3.745e-07          1.22864e-09
  3.746e-07          1.18505e-09
  3.747e-07          1.14066e-09
  3.748e-07          1.09597e-09
  3.749e-07          1.04775e-09
  3.75e-07          9.98935e-10
  3.751e-07          1.01841e-09
  3.752e-07          1.03725e-09
  3.753e-07          1.05625e-09
  3.754e-07          1.07675e-09
  3.755e-07          1.09797e-09
  3.756e-07          1.05281e-09
  3.757e-07          1.00701e-09
  3.758e-07          9.60547e-10
  3.759e-07          9.15493e-10
  3.76e-07          8.69553e-10
  3.761e-07          8.87681e-10
  3.762e-07          9.05044e-10
  3.763e-07          9.22597e-10
  3.764e-07          9.37284e-10
  3.765e-07          9.52076e-10
  3.766e-07          1.02258e-09
  3.767e-07          1.09371e-09
  3.768e-07          1.16546e-09
  3.769e-07          1.23806e-09
  3.77e-07          1.31349e-09
  3.771e-07          1.27242e-09
  3.772e-07          1.23077e-09
  3.773e-07          1.18792e-09
  3.774e-07          1.14452e-09
  3.775e-07          1.10222e-09
  3.776e-07          1.08765e-09
  3.777e-07          1.0739e-09
  3.778e-07          1.05982e-09
  3.779e-07          1.04541e-09
  3.78e-07          1.0272e-09
  3.781e-07          1.05655e-09
  3.782e-07          1.08617e-09
  3.783e-07          1.11605e-09
  3.784e-07          1.14588e-09
  3.785e-07          1.17727e-09
  3.786e-07          1.23498e-09
  3.787e-07          1.29396e-09
  3.788e-07          1.35362e-09
  3.789e-07          1.41397e-09
  3.79e-07          1.47783e-09
  3.791e-07          1.39829e-09
  3.792e-07          1.31723e-09
  3.793e-07          1.23463e-09
  3.794e-07          1.14929e-09
  3.795e-07          1.03739e-09
  3.796e-07          1.12255e-09
  3.797e-07          1.20891e-09
  3.798e-07          1.2969e-09
  3.799e-07          1.38616e-09
  3.8e-07          1.47671e-09
  3.801e-07          1.39442e-09
  3.802e-07          1.3098e-09
  3.803e-07          1.22281e-09
  3.804e-07          1.13339e-09
  3.805e-07          1.041e-09
  3.806e-07          1.20367e-09
  3.807e-07          1.37059e-09
  3.808e-07          1.54303e-09
  3.809e-07          1.72014e-09
  3.81e-07          1.902e-09
  3.811e-07          1.85824e-09
  3.812e-07          1.81238e-09
  3.813e-07          1.76542e-09
  3.814e-07          1.71733e-09
  3.815e-07          1.66811e-09
  3.816e-07          1.6364e-09
  3.817e-07          1.60366e-09
  3.818e-07          1.56986e-09
  3.819e-07          1.53579e-09
  3.82e-07          1.50058e-09
  3.821e-07          1.51537e-09
  3.822e-07          1.53027e-09
  3.823e-07          1.5449e-09
  3.824e-07          1.55964e-09
  3.825e-07          1.57448e-09
  3.826e-07          1.47304e-09
  3.827e-07          1.36658e-09
  3.828e-07          1.25775e-09
  3.829e-07          1.1465e-09
  3.83e-07          1.0339e-09
  3.831e-07          1.24084e-09
  3.832e-07          1.45396e-09
  3.833e-07          1.67135e-09
  3.834e-07          1.8938e-09
  3.835e-07          2.12141e-09
  3.836e-07          2.29785e-09
  3.837e-07          2.48306e-09
  3.838e-07          2.67297e-09
  3.839e-07          2.86766e-09
  3.84e-07          3.06796e-09
  3.841e-07          2.9055e-09
  3.842e-07          2.72647e-09
  3.843e-07          2.54376e-09
  3.844e-07          2.35835e-09
  3.845e-07          2.16898e-09
  3.846e-07          2.13292e-09
  3.847e-07          2.09914e-09
  3.848e-07          2.06427e-09
  3.849e-07          2.02829e-09
  3.85e-07          1.99118e-09
  3.851e-07          2.06783e-09
  3.852e-07          2.12221e-09
  3.853e-07          2.20717e-09
  3.854e-07          2.29511e-09
  3.855e-07          2.38512e-09
  3.856e-07          2.52762e-09
  3.857e-07          2.67379e-09
  3.858e-07          2.80798e-09
  3.859e-07          2.94444e-09
  3.86e-07          3.0832e-09
  3.861e-07          2.94844e-09
  3.862e-07          2.81069e-09
  3.863e-07          2.67524e-09
  3.864e-07          2.53614e-09
  3.865e-07          2.3929e-09
