#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-ip_bs-65-35_scibs-ri_atm.dat
#
# Science (camssci1) i' bandpass with 65/35 B/S, sci ri, with atmosphere
#
# Characteristics:
#    lambda_0:  7.63938e-07 [central wavelength, in m]
#    w_eff:     1.2028e-07 [effective width, in m]
#    FWHM:      1.31919e-07 [full-width at half max., in m]
#    Trans_max: 0.112082 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0133122 [W/m^3 above atm]
#    f_nu_0:     2555.48 [Jy above atm]
#    f_phot_0:   5.07716e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 4.86643e-08 [W at telescope aperture]
#    F_phot_0:   2.08025e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          1.54709e-08
  5.001e-07          1.79326e-08
  5.002e-07          2.04851e-08
  5.003e-07          2.31269e-08
  5.004e-07          2.58598e-08
  5.005e-07          2.86917e-08
  5.006e-07          2.53046e-08
  5.007e-07          2.16846e-08
  5.008e-07          1.78303e-08
  5.009e-07          1.37406e-08
  5.01e-07          9.4141e-09
  5.011e-07          1.22222e-08
  5.012e-07          1.51725e-08
  5.013e-07          1.82683e-08
  5.014e-07          2.15099e-08
  5.015e-07          2.48981e-08
  5.016e-07          2.21418e-08
  5.017e-07          1.92503e-08
  5.018e-07          1.62232e-08
  5.019e-07          1.30599e-08
  5.02e-07          9.75989e-09
  5.021e-07          1.32285e-08
  5.022e-07          1.67363e-08
  5.023e-07          2.02835e-08
  5.024e-07          2.3873e-08
  5.025e-07          2.75031e-08
  5.026e-07          2.89351e-08
  5.027e-07          3.0328e-08
  5.028e-07          3.16813e-08
  5.029e-07          3.29941e-08
  5.03e-07          3.426e-08
  5.031e-07          3.37628e-08
  5.032e-07          3.32521e-08
  5.033e-07          3.27242e-08
  5.034e-07          3.21827e-08
  5.035e-07          3.16275e-08
  5.036e-07          3.31462e-08
  5.037e-07          3.45486e-08
  5.038e-07          3.5834e-08
  5.039e-07          3.70018e-08
  5.04e-07          3.80513e-08
  5.041e-07          3.35797e-08
  5.042e-07          2.92613e-08
  5.043e-07          2.50969e-08
  5.044e-07          2.10916e-08
  5.045e-07          1.72426e-08
  5.046e-07          1.75679e-08
  5.047e-07          1.78774e-08
  5.048e-07          1.81672e-08
  5.049e-07          1.84409e-08
  5.05e-07          1.86961e-08
  5.051e-07          1.83031e-08
  5.052e-07          1.79127e-08
  5.053e-07          1.7525e-08
  5.054e-07          1.71439e-08
  5.055e-07          1.67653e-08
  5.056e-07          1.85777e-08
  5.057e-07          2.04031e-08
  5.058e-07          2.22364e-08
  5.059e-07          2.40819e-08
  5.06e-07          2.59396e-08
  5.061e-07          2.50272e-08
  5.062e-07          2.40942e-08
  5.063e-07          2.31406e-08
  5.064e-07          2.21663e-08
  5.065e-07          2.11712e-08
