#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-rp_bs-65-35_scibs-5050.dat
#
# Science (camssci1) r' bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  6.15211e-07 [central wavelength, in m]
#    w_eff:     1.11941e-07 [effective width, in m]
#    FWHM:      1.2645e-07 [full-width at half max., in m]
#    Trans_max: 0.107122 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0258511 [W/m^3 above atm]
#    f_nu_0:     3200.36 [Jy above atm]
#    f_phot_0:   7.91398e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 8.79494e-08 [W at telescope aperture]
#    F_phot_0:   2.88422e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          7.78893e-09
  3.707e-07          7.7632e-09
  3.708e-07          7.7371e-09
  3.709e-07          7.70269e-09
  3.71e-07          7.66799e-09
  3.711e-07          7.74818e-09
  3.712e-07          7.82681e-09
  3.713e-07          7.91168e-09
  3.714e-07          7.9971e-09
  3.715e-07          8.0831e-09
  3.716e-07          8.0793e-09
  3.717e-07          8.07532e-09
  3.718e-07          8.07246e-09
  3.719e-07          8.06941e-09
  3.72e-07          8.05999e-09
  3.721e-07          8.08184e-09
  3.722e-07          8.12472e-09
  3.723e-07          8.16771e-09
  3.724e-07          8.21086e-09
  3.725e-07          8.25412e-09
  3.726e-07          8.38019e-09
  3.727e-07          8.51304e-09
  3.728e-07          8.67036e-09
  3.729e-07          8.82959e-09
  3.73e-07          8.99078e-09
  3.731e-07          9.05689e-09
  3.732e-07          9.1232e-09
  3.733e-07          9.14807e-09
  3.734e-07          9.17795e-09
  3.735e-07          9.20793e-09
  3.736e-07          9.26259e-09
  3.737e-07          9.31754e-09
  3.738e-07          9.40084e-09
  3.739e-07          9.48474e-09
  3.74e-07          9.56921e-09
  3.741e-07          9.57168e-09
  3.742e-07          9.57368e-09
  3.743e-07          9.57516e-09
  3.744e-07          9.58798e-09
  3.745e-07          9.60343e-09
  3.746e-07          9.68532e-09
  3.747e-07          9.76767e-09
  3.748e-07          9.85501e-09
  3.749e-07          9.91755e-09
  3.75e-07          9.98043e-09
  3.751e-07          1.00371e-08
  3.752e-07          1.00861e-08
  3.753e-07          1.01352e-08
  3.754e-07          1.01975e-08
  3.755e-07          1.02648e-08
  3.756e-07          1.03082e-08
  3.757e-07          1.03518e-08
  3.758e-07          1.03953e-08
  3.759e-07          1.04624e-08
  3.76e-07          1.05296e-08
  3.761e-07          1.07045e-08
  3.762e-07          1.08695e-08
  3.763e-07          1.1036e-08
  3.764e-07          1.11678e-08
  3.765e-07          1.13005e-08
