#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-rp_bs-65-35_scibs-open.dat
#
# Science (camssci1) r' bandpass with 65/35 B/S, sci open, without atmosphere
#
# Characteristics:
#    lambda_0:  6.14672e-07 [central wavelength, in m]
#    w_eff:     1.10786e-07 [effective width, in m]
#    FWHM:      1.26176e-07 [full-width at half max., in m]
#    Trans_max: 0.230808 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0256246 [W/m^3 above atm]
#    f_nu_0:     3.21764e-23 [Jy above atm]
#    f_phot_0:   7.92909e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 8.62792e-08 [W at telescope aperture]
#    F_phot_0:   6.16202e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          1.7015e-08
  3.707e-07          1.6959e-08
  3.708e-07          1.69023e-08
  3.709e-07          1.68274e-08
  3.71e-07          1.67518e-08
  3.711e-07          1.69273e-08
  3.712e-07          1.70994e-08
  3.713e-07          1.72851e-08
  3.714e-07          1.7472e-08
  3.715e-07          1.76602e-08
  3.716e-07          1.76522e-08
  3.717e-07          1.76438e-08
  3.718e-07          1.76378e-08
  3.719e-07          1.76314e-08
  3.72e-07          1.76111e-08
  3.721e-07          1.76592e-08
  3.722e-07          1.77532e-08
  3.723e-07          1.78474e-08
  3.724e-07          1.7942e-08
  3.725e-07          1.80368e-08
  3.726e-07          1.83126e-08
  3.727e-07          1.86032e-08
  3.728e-07          1.89473e-08
  3.729e-07          1.92956e-08
  3.73e-07          1.96481e-08
  3.731e-07          1.9793e-08
  3.732e-07          1.99382e-08
  3.733e-07          1.99929e-08
  3.734e-07          2.00586e-08
  3.735e-07          2.01244e-08
  3.736e-07          2.02442e-08
  3.737e-07          2.03646e-08
  3.738e-07          2.0547e-08
  3.739e-07          2.07307e-08
  3.74e-07          2.09157e-08
  3.741e-07          2.09215e-08
  3.742e-07          2.09262e-08
  3.743e-07          2.09298e-08
  3.744e-07          2.09581e-08
  3.745e-07          2.09923e-08
  3.746e-07          2.11716e-08
  3.747e-07          2.1352e-08
  3.748e-07          2.15432e-08
  3.749e-07          2.16803e-08
  3.75e-07          2.18182e-08
  3.751e-07          2.19424e-08
  3.752e-07          2.20498e-08
  3.753e-07          2.21577e-08
  3.754e-07          2.22941e-08
  3.755e-07          2.24415e-08
  3.756e-07          2.2537e-08
  3.757e-07          2.26325e-08
  3.758e-07          2.2728e-08
  3.759e-07          2.28751e-08
  3.76e-07          2.30224e-08
  3.761e-07          2.34052e-08
  3.762e-07          2.37663e-08
  3.763e-07          2.4131e-08
  3.764e-07          2.44195e-08
  3.765e-07          2.471e-08
  3.766e-07          2.46356e-08
  3.767e-07          2.45598e-08
  3.768e-07          2.44828e-08
  3.769e-07          2.44085e-08
  3.77e-07          2.43734e-08
  3.771e-07          2.4656e-08
  3.772e-07          2.49409e-08
  3.773e-07          2.52156e-08
  3.774e-07          2.54924e-08
  3.775e-07          2.58103e-08
  3.776e-07          2.60711e-08
  3.777e-07          2.63613e-08
  3.778e-07          2.6654e-08
  3.779e-07          2.69491e-08
  3.78e-07          2.71552e-08
  3.781e-07          2.72569e-08
  3.782e-07          2.73588e-08
  3.783e-07          2.7461e-08
  3.784e-07          2.75555e-08
  3.785e-07          2.7681e-08
  3.786e-07          2.77488e-08
  3.787e-07          2.783e-08
  3.788e-07          2.79108e-08
  3.789e-07          2.79913e-08
  3.79e-07          2.81252e-08
  3.791e-07          2.84436e-08
  3.792e-07          2.87646e-08
  3.793e-07          2.90883e-08
  3.794e-07          2.93844e-08
  3.795e-07          2.89795e-08
  3.796e-07          2.92174e-08
  3.797e-07          2.94566e-08
  3.798e-07          2.97068e-08
  3.799e-07          2.99585e-08
  3.8e-07          3.02116e-08
  3.801e-07          3.05648e-08
  3.802e-07          3.09216e-08
  3.803e-07          3.12821e-08
  3.804e-07          3.16464e-08
  3.805e-07          3.19987e-08
  3.806e-07          3.23586e-08
  3.807e-07          3.27215e-08
  3.808e-07          3.31131e-08
  3.809e-07          3.35082e-08
  3.81e-07          3.39069e-08
  3.811e-07          3.45899e-08
  3.812e-07          3.52647e-08
  3.813e-07          3.59493e-08
  3.814e-07          3.6644e-08
  3.815e-07          3.73488e-08
  3.816e-07          3.73262e-08
  3.817e-07          3.72969e-08
  3.818e-07          3.7261e-08
  3.819e-07          3.72377e-08
  3.82e-07          3.72074e-08
  3.821e-07          3.79465e-08
  3.822e-07          3.86978e-08
  3.823e-07          3.94518e-08
  3.824e-07          4.0218e-08
  3.825e-07          4.09966e-08
  3.826e-07          4.13099e-08
  3.827e-07          4.15541e-08
