#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-rp_bs-65-35_scibs-ri_atm.dat
#
# Science (camssci1) r' bandpass with 65/35 B/S, sci ri, with atmosphere
#
# Characteristics:
#    lambda_0:  6.4739e-07 [central wavelength, in m]
#    w_eff:     2.96738e-08 [effective width, in m]
#    FWHM:      1.07582e-07 [full-width at half max., in m]
#    Trans_max: 0.0429255 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0219818 [W/m^3 above atm]
#    f_nu_0:     3.06097e-23 [Jy above atm]
#    f_phot_0:   7.16394e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 1.98244e-08 [W at telescope aperture]
#    F_phot_0:   2.77336e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          2.67235e-10
  3.707e-07          2.6618e-10
  3.708e-07          2.65113e-10
  3.709e-07          2.63763e-10
  3.71e-07          2.62404e-10
  3.711e-07          2.73744e-10
  3.712e-07          2.85206e-10
  3.713e-07          2.97076e-10
  3.714e-07          3.09156e-10
  3.715e-07          3.21449e-10
  3.716e-07          3.57844e-10
  3.717e-07          3.94198e-10
  3.718e-07          4.30577e-10
  3.719e-07          4.66919e-10
  3.72e-07          5.02839e-10
  3.721e-07          6.22866e-10
  3.722e-07          7.45467e-10
  3.723e-07          8.69345e-10
  3.724e-07          9.94505e-10
  3.725e-07          1.12096e-09
  3.726e-07          1.43151e-09
  3.727e-07          1.75229e-09
  3.728e-07          2.08828e-09
  3.729e-07          2.43583e-09
  3.73e-07          2.79515e-09
  3.731e-07          2.9506e-09
  3.732e-07          3.1081e-09
  3.733e-07          3.25283e-09
  3.734e-07          3.40018e-09
  3.735e-07          3.54844e-09
  3.736e-07          3.60405e-09
  3.737e-07          3.66017e-09
  3.738e-07          3.72796e-09
  3.739e-07          3.79659e-09
  3.74e-07          3.8661e-09
  3.741e-07          4.17636e-09
  3.742e-07          4.48656e-09
  3.743e-07          4.79666e-09
  3.744e-07          5.1129e-09
  3.745e-07          5.43147e-09
  3.746e-07          5.75523e-09
  3.747e-07          6.08398e-09
  3.748e-07          6.42071e-09
