#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-zp_bs-65-35_scibs-open.dat
#
# Science (camssci1) z' bandpass with 65/35 B/S, sci open, without atmosphere
#
# Characteristics:
#    lambda_0:  9.10494e-07 [central wavelength, in m]
#    w_eff:     1.41039e-07 [effective width, in m]
#    FWHM:      1.42849e-07 [full-width at half max., in m]
#    Trans_max: 0.0874729 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00815144 [W/m^3 above atm]
#    f_nu_0:     2.24584e-23 [Jy above atm]
#    f_phot_0:   3.73624e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 3.49411e-08 [W at telescope aperture]
#    F_phot_0:   1.40091e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          4.67546e-10
  3.707e-07          4.50492e-10
  3.708e-07          4.33281e-10
  3.709e-07          4.15486e-10
  3.71e-07          3.9757e-10
  3.711e-07          3.65919e-10
  3.712e-07          3.33939e-10
  3.713e-07          3.01953e-10
  3.714e-07          2.69692e-10
  3.715e-07          2.37155e-10
  3.716e-07          2.70982e-10
  3.717e-07          3.05091e-10
  3.718e-07          3.39538e-10
  3.719e-07          3.74281e-10
  3.72e-07          4.09009e-10
  3.721e-07          3.55851e-10
  3.722e-07          3.03082e-10
  3.723e-07          2.49637e-10
  3.724e-07          1.95513e-10
  3.725e-07          1.40704e-10
  3.726e-07          1.40797e-10
  3.727e-07          1.40978e-10
  3.728e-07          1.4153e-10
  3.729e-07          1.42076e-10
  3.73e-07          1.42614e-10
  3.731e-07          2.07308e-10
  3.732e-07          2.73071e-10
  3.733e-07          3.3837e-10
  3.734e-07          4.04378e-10
  3.735e-07          4.70948e-10
  3.736e-07          3.68981e-10
  3.737e-07          2.66123e-10
  3.738e-07          1.62858e-10
  3.739e-07          5.80661e-11
  3.74e-07          -4.82652e-11
  3.741e-07          1.47396e-10
  3.742e-07          3.45577e-10
  3.743e-07          5.46294e-10
  3.744e-07          7.50489e-10
  3.745e-07          9.58076e-10
  3.746e-07          8.80143e-10
  3.747e-07          8.00895e-10
  3.748e-07          7.20649e-10
  3.749e-07          6.37364e-10
  3.75e-07          5.53091e-10
  3.751e-07          5.21687e-10
  3.752e-07          4.89522e-10
  3.753e-07          4.57033e-10
  3.754e-07          4.24754e-10
  3.755e-07          3.92245e-10
  3.756e-07          3.67216e-10
  3.757e-07          3.41839e-10
  3.758e-07          3.16113e-10
  3.759e-07          2.90689e-10
  3.76e-07          2.64789e-10
  3.761e-07          2.40254e-10
  3.762e-07          2.15031e-10
  3.763e-07          1.89407e-10
  3.764e-07          1.62848e-10
