#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci1-zp_bs-65-35_scibs-ri.dat
#
# Science (camssci1) z' bandpass with 65/35 B/S, sci ri, without atmosphere
#
# Characteristics:
#    lambda_0:  9.10322e-07 [central wavelength, in m]
#    w_eff:     1.40615e-07 [effective width, in m]
#    FWHM:      1.43409e-07 [full-width at half max., in m]
#    Trans_max: 0.0843674 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00815514 [W/m^3 above atm]
#    f_nu_0:     2.24605e-23 [Jy above atm]
#    f_phot_0:   3.73723e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 3.4852e-08 [W at telescope aperture]
#    F_phot_0:   1.34748e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          7.34321e-12
  3.707e-07          7.07067e-12
  3.708e-07          6.79603e-12
  3.709e-07          6.51259e-12
  3.71e-07          6.22762e-12
  3.711e-07          5.91755e-12
  3.712e-07          5.56986e-12
  3.713e-07          5.18961e-12
  3.714e-07          4.77203e-12
  3.715e-07          4.31668e-12
  3.716e-07          5.49335e-12
  3.717e-07          6.81636e-12
  3.718e-07          8.28885e-12
  3.719e-07          9.9118e-12
  3.72e-07          1.16781e-11
  3.721e-07          1.25514e-11
  3.722e-07          1.27266e-11
  3.723e-07          1.21598e-11
  3.724e-07          1.08371e-11
  3.725e-07          8.74448e-12
  3.726e-07          1.10062e-11
  3.727e-07          1.32791e-11
  3.728e-07          1.55988e-11
  3.729e-07          1.79353e-11
  3.73e-07          2.02883e-11
  3.731e-07          3.0904e-11
  3.732e-07          4.2568e-11
  3.733e-07          5.50526e-11
  3.734e-07          6.85471e-11
  3.735e-07          8.30403e-11
  3.736e-07          6.56892e-11
  3.737e-07          4.78309e-11
  3.738e-07          2.95482e-11
  3.739e-07          1.06341e-11
  3.74e-07          -8.92143e-12
  3.741e-07          2.94233e-11
  3.742e-07          7.40917e-11
  3.743e-07          1.25199e-10
  3.744e-07          1.83088e-10
  3.745e-07          2.47889e-10
  3.746e-07          2.39256e-10
  3.747e-07          2.28205e-10
  3.748e-07          2.14781e-10
  3.749e-07          1.98309e-10
  3.75e-07          1.79334e-10
  3.751e-07          1.59566e-10
  3.752e-07          1.40733e-10
  3.753e-07          1.22994e-10
  3.754e-07          1.06503e-10
  3.755e-07          9.1144e-11
  3.756e-07          8.09057e-11
  3.757e-07          7.1198e-11
  3.758e-07          6.20328e-11
  3.759e-07          5.35429e-11
  3.76e-07          4.55834e-11
  3.761e-07          4.1471e-11
  3.762e-07          3.72168e-11
  3.763e-07          3.28696e-11
  3.764e-07          2.8336e-11
  3.765e-07          2.37377e-11
  3.766e-07          2.82931e-11
  3.767e-07          3.32427e-11
  3.768e-07          3.85913e-11
  3.769e-07          4.43517e-11
  3.77e-07          5.06075e-11
  3.771e-07          6.3983e-11
  3.772e-07          7.86583e-11
  3.773e-07          9.46089e-11
  3.774e-07          1.11888e-10
  3.775e-07          1.30714e-10
  3.776e-07          1.26467e-10
  3.777e-07          1.22358e-10
  3.778e-07          1.18251e-10
  3.779e-07          1.14147e-10
  3.78e-07          1.09678e-10
  3.781e-07          1.27824e-10
  3.782e-07          1.45095e-10
  3.783e-07          1.61477e-10
  3.784e-07          1.76905e-10
  3.785e-07          1.91619e-10
  3.786e-07          1.92464e-10
  3.787e-07          1.93334e-10
  3.788e-07          1.94133e-10
  3.789e-07          1.94859e-10
  3.79e-07          1.95886e-10
  3.791e-07          2.12263e-10
  3.792e-07          2.29292e-10
  3.793e-07          2.46986e-10
  3.794e-07          2.65083e-10
  3.795e-07          2.77109e-10
  3.796e-07          2.57928e-10
  3.797e-07          2.36526e-10
  3.798e-07          2.12926e-10
  3.799e-07          1.86997e-10
  3.8e-07          1.5869e-10
  3.801e-07          1.5084e-10
  3.802e-07          1.43073e-10
  3.803e-07          1.35395e-10
  3.804e-07          1.27815e-10
  3.805e-07          1.20282e-10
  3.806e-07          1.58736e-10
  3.807e-07          1.95652e-10
  3.808e-07          2.31121e-10
  3.809e-07          2.64926e-10
  3.81e-07          2.96971e-10
  3.811e-07          3.0934e-10
  3.812e-07          3.20164e-10
  3.813e-07          3.29554e-10
  3.814e-07          3.37464e-10
  3.815e-07          3.43847e-10
  3.816e-07          2.8983e-10
  3.817e-07          2.35971e-10
  3.818e-07          1.823e-10
  3.819e-07          1.2892e-10
  3.82e-07          7.57413e-11
  3.821e-07          1.18662e-10
  3.822e-07          1.66063e-10
  3.823e-07          2.18039e-10
  3.824e-07          2.74768e-10
  3.825e-07          3.364e-10
  3.826e-07          2.42611e-10
  3.827e-07          1.54679e-10
  3.828e-07          7.34044e-11
  3.829e-07          -9.73826e-13
  3.83e-07          -6.82865e-11
  3.831e-07          4.83168e-12
  3.832e-07          7.57165e-11
  3.833e-07          1.44232e-10
  3.834e-07          2.10259e-10
  3.835e-07          2.73676e-10
  3.836e-07          3.40017e-10
  3.837e-07          4.13551e-10
  3.838e-07          4.93979e-10
  3.839e-07          5.81543e-10
  3.84e-07          6.76656e-10
  3.841e-07          5.75555e-10
  3.842e-07          4.77052e-10
  3.843e-07          3.84184e-10
  3.844e-07          2.97273e-10
  3.845e-07          2.16307e-10
  3.846e-07          2.97984e-10
  3.847e-07          3.87889e-10
  3.848e-07          4.85926e-10
  3.849e-07          5.92339e-10
  3.85e-07          7.07374e-10
  3.851e-07          6.27934e-10
  3.852e-07          5.28035e-10
  3.853e-07          4.21411e-10
  3.854e-07          2.98884e-10
  3.855e-07          1.59578e-10
  3.856e-07          2.41934e-10
  3.857e-07          3.28412e-10
  3.858e-07          4.16801e-10
  3.859e-07          5.08532e-10
  3.86e-07          6.03675e-10
  3.861e-07          6.36788e-10
  3.862e-07          6.70943e-10
  3.863e-07          7.07569e-10
  3.864e-07          7.45421e-10
  3.865e-07          7.84395e-10
  3.866e-07          8.74235e-10
  3.867e-07          9.65878e-10
  3.868e-07          1.06008e-09
  3.869e-07          1.15594e-09
  3.87e-07          1.25376e-09
  3.871e-07          1.11511e-09
  3.872e-07          9.81864e-10
  3.873e-07          8.51394e-10
  3.874e-07          7.26842e-10
  3.875e-07          6.08427e-10
  3.876e-07          6.28086e-10
  3.877e-07          6.48203e-10
  3.878e-07          6.69791e-10
  3.879e-07          6.91694e-10
  3.88e-07          7.1413e-10
  3.881e-07          6.75798e-10
  3.882e-07          6.38139e-10
  3.883e-07          6.01011e-10
  3.884e-07          5.65203e-10
  3.885e-07          5.29895e-10
  3.886e-07          5.92884e-10
  3.887e-07          6.33611e-10
  3.888e-07          6.51179e-10
  3.889e-07          6.42888e-10
  3.89e-07          6.09162e-10
  3.891e-07          5.70536e-10
  3.892e-07          5.328e-10
  3.893e-07          4.96109e-10
  3.894e-07          4.61233e-10
  3.895e-07          4.27206e-10
  3.896e-07          4.12457e-10
  3.897e-07          3.97215e-10
  3.898e-07          3.81274e-10
  3.899e-07          3.65346e-10
  3.9e-07          3.48375e-10
  3.901e-07          3.87761e-10
  3.902e-07          4.29754e-10
  3.903e-07          4.72647e-10
  3.904e-07          5.17967e-10
  3.905e-07          5.65769e-10
  3.906e-07          5.7025e-10
  3.907e-07          5.67726e-10
  3.908e-07          5.58258e-10
  3.909e-07          5.41393e-10
  3.91e-07          5.17767e-10
  3.911e-07          5.58573e-10
  3.912e-07          5.9638e-10
  3.913e-07          6.31081e-10
  3.914e-07          6.62566e-10
  3.915e-07          6.91991e-10
  3.916e-07          7.00722e-10
  3.917e-07          7.08896e-10
  3.918e-07          7.15948e-10
  3.919e-07          7.22387e-10
  3.92e-07          7.27076e-10
  3.921e-07          7.79104e-10
  3.922e-07          8.28303e-10
  3.923e-07          8.74755e-10
  3.924e-07          9.18366e-10
  3.925e-07          9.59987e-10
  3.926e-07          8.93222e-10
  3.927e-07          8.25376e-10
  3.928e-07          7.56439e-10
  3.929e-07          6.86272e-10
  3.93e-07          6.15798e-10
  3.931e-07          7.69347e-10
  3.932e-07          9.29109e-10
  3.933e-07          1.09543e-09
  3.934e-07          1.26846e-09
  3.935e-07          1.42673e-09
  3.936e-07          1.2484e-09
  3.937e-07          1.06587e-09
  3.938e-07          8.79078e-10
  3.939e-07          6.88071e-10
  3.94e-07          4.92612e-10
  3.941e-07          6.38999e-10
  3.942e-07          7.6987e-10
  3.943e-07          8.84254e-10
  3.944e-07          9.81913e-10
  3.945e-07          1.06229e-09
  3.946e-07          9.2703e-10
  3.947e-07          7.99435e-10
  3.948e-07          6.78837e-10
  3.949e-07          5.65574e-10
  3.95e-07          4.59792e-10
  3.951e-07          5.18017e-10
  3.952e-07          5.73377e-10
  3.953e-07          6.25779e-10
  3.954e-07          6.74788e-10
  3.955e-07          7.206e-10
  3.956e-07          8.00026e-10
  3.957e-07          8.81993e-10
  3.958e-07          9.66352e-10
  3.959e-07          1.05315e-09
  3.96e-07          1.14243e-09
  3.961e-07          1.15033e-09
  3.962e-07          1.14939e-09
  3.963e-07          1.13932e-09
  3.964e-07          1.11913e-09
  3.965e-07          1.08926e-09
  3.966e-07          1.38486e-09
  3.967e-07          1.71567e-09
  3.968e-07          2.08492e-09
  3.969e-07          2.4931e-09
  3.97e-07          2.94116e-09
  3.971e-07          2.77116e-09
  3.972e-07          2.60402e-09
  3.973e-07          2.43654e-09
  3.974e-07          2.2688e-09
  3.975e-07          2.09929e-09
  3.976e-07          2.02354e-09
  3.977e-07          1.94679e-09
  3.978e-07          1.86902e-09
  3.979e-07          1.78925e-09
  3.98e-07          1.70744e-09
  3.981e-07          1.82405e-09
  3.982e-07          1.94123e-09
  3.983e-07          2.0618e-09
  3.984e-07          2.18581e-09
  3.985e-07          2.31251e-09
  3.986e-07          2.33002e-09
  3.987e-07          2.34795e-09
  3.988e-07          2.3657e-09
  3.989e-07          2.3843e-09
  3.99e-07          2.40272e-09
  3.991e-07          2.33609e-09
  3.992e-07          2.26588e-09
  3.993e-07          2.19339e-09
  3.994e-07          2.11705e-09
  3.995e-07          2.03678e-09
  3.996e-07          2.51227e-09
  3.997e-07          2.99862e-09
  3.998e-07          3.49229e-09
  3.999e-07          3.99611e-09
  4e-07          4.51181e-09
