#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-ch4-cont_bs-65-35_scibs-5050_atm.dat
#
# Science CH4 Continuum bandpass with 65/35 B/S, with atmosphere
#
# Characteristics:
#    lambda_0:  9.23317e-07 [central wavelength, in m]
#    w_eff:     2.26163e-08 [effective width, in m]
#    FWHM:      2.37162e-08 [full-width at half max., in m]
#    Trans_max: 0.0373223 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00806661 [W/m^3 above atm]
#    f_nu_0:     2293.09 [Jy above atm]
#    f_phot_0:   3.74864e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.54469e-09 [W at telescope aperture]
#    F_phot_0:   9.61676e+08 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  9.016e-07          0
  9.017e-07          8.88329e-08
  9.018e-07          1.99363e-07
  9.019e-07          3.31575e-07
  9.02e-07          4.85489e-07
  9.021e-07          6.08681e-07
  9.022e-07          7.326e-07
  9.023e-07          9.32984e-06
  9.024e-07          1.79802e-05
  9.025e-07          2.66837e-05
  9.026e-07          3.54404e-05
  9.027e-07          4.41983e-05
  9.028e-07          5.29885e-05
  9.029e-07          6.18108e-05
  9.03e-07          7.50205e-05
  9.031e-07          8.81152e-05
  9.032e-07          0.00010121
  9.033e-07          0.000114303
  9.034e-07          0.000127463
  9.035e-07          0.000140636
  9.036e-07          0.000153822
  9.037e-07          0.0001743
  9.038e-07          0.000194808
  9.039e-07          0.00021534
  9.04e-07          0.000225694
  9.041e-07          0.000234784
  9.042e-07          0.000243777
  9.043e-07          0.00025267
  9.044e-07          0.000261498
  9.045e-07          0.000270229
  9.046e-07          0.00028169
  9.047e-07          0.000293027
  9.048e-07          0.000303764
  9.049e-07          0.000314342
  9.05e-07          0.000324761
  9.051e-07          0.000338269
  9.052e-07          0.000352157
  9.053e-07          0.000370131
  9.054e-07          0.000388233
  9.055e-07          0.000406751
  9.056e-07          0.000425422
  9.057e-07          0.000444247
  9.058e-07          0.000463225
  9.059e-07          0.000482357
  9.06e-07          0.000514938
  9.061e-07          0.000544503
  9.062e-07          0.000573973
  9.063e-07          0.000603118
  9.064e-07          0.000632146
  9.065e-07          0.000667393
  9.066e-07          0.000702532
  9.067e-07          0.000737563
  9.068e-07          0.000772487
  9.069e-07          0.000807303
  9.07e-07          0.000864325
  9.071e-07          0.000923662
  9.072e-07          0.000982943
  9.073e-07          0.00103364
  9.074e-07          0.00108443
  9.075e-07          0.00113581
  9.076e-07          0.00120969
  9.077e-07          0.00128416
  9.078e-07          0.00135827
  9.079e-07          0.00143255
  9.08e-07          0.0015072
  9.081e-07          0.00157271
  9.082e-07          0.00163755
  9.083e-07          0.001873
  9.084e-07          0.00210538
  9.085e-07          0.00233533
  9.086e-07          0.00246857
  9.087e-07          0.00260046
  9.088e-07          0.00273102
  9.089e-07          0.00293285
  9.09e-07          0.00313266
  9.091e-07          0.00335285
  9.092e-07          0.00357378
  9.093e-07          0.00381269
  9.094e-07          0.00406016
  9.095e-07          0.00430939
  9.096e-07          0.004861
  9.097e-07          0.0054166
  9.098e-07          0.00597855
  9.099e-07          0.00662058
  9.1e-07          0.00726883
  9.101e-07          0.00778002
  9.102e-07          0.00815102
  9.103e-07          0.00850818
  9.104e-07          0.00885148
  9.105e-07          0.00955198
  9.106e-07          0.0102278
  9.107e-07          0.0108789
  9.108e-07          0.0115053
  9.109e-07          0.0124003
  9.11e-07          0.0132602
  9.111e-07          0.0144737
  9.112e-07          0.014904
  9.113e-07          0.01534
  9.114e-07          0.0157815
  9.115e-07          0.0170525
  9.116e-07          0.0183518
  9.117e-07          0.0196741
  9.118e-07          0.0210195
  9.119e-07          0.0223674
  9.12e-07          0.0237379
  9.121e-07          0.0249783
  9.122e-07          0.0259757
  9.123e-07          0.0269451
  9.124e-07          0.0278459
  9.125e-07          0.0287503
  9.126e-07          0.0296965
  9.127e-07          0.0306489
  9.128e-07          0.0310439
  9.129e-07          0.031441
  9.13e-07          0.0317991
  9.131e-07          0.0319856
  9.132e-07          0.0322796
  9.133e-07          0.0326003
  9.134e-07          0.0329194
  9.135e-07          0.0334191
  9.136e-07          0.0339163
  9.137e-07          0.0344203
  9.138e-07          0.0345186
  9.139e-07          0.0346162
  9.14e-07          0.0347179
  9.141e-07          0.034988
  9.142e-07          0.0352592
  9.143e-07          0.0355313
  9.144e-07          0.0357576
  9.145e-07          0.0362259
  9.146e-07          0.0366952
  9.147e-07          0.0368516
  9.148e-07          0.0370082
  9.149e-07          0.0371651
  9.15e-07          0.0373223
  9.151e-07          0.0372963
  9.152e-07          0.0372704
  9.153e-07          0.0372444
  9.154e-07          0.0372183
  9.155e-07          0.0372047
