#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-gp_bs-65-35_scibs-5050.dat
#
# Science (camssci2) g' bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  4.97295e-07 [central wavelength, in m]
#    w_eff:     8.03137e-08 [effective width, in m]
#    FWHM:      7.04305e-08 [full-width at half max., in m]
#    Trans_max: 0.132725 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0481467 [W/m^3 above atm]
#    f_nu_0:     3873.97 [Jy above atm]
#    f_phot_0:   1.18673e+17 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 1.17522e-07 [W at telescope aperture]
#    F_phot_0:   3.84465e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          6.21559e-08
  3.707e-07          6.21907e-08
  3.708e-07          6.22244e-08
  3.709e-07          6.21933e-08
  3.71e-07          6.21613e-08
  3.711e-07          6.25023e-08
  3.712e-07          6.28285e-08
  3.713e-07          6.32023e-08
  3.714e-07          6.35782e-08
  3.715e-07          6.39559e-08
  3.716e-07          6.41618e-08
  3.717e-07          6.43681e-08
  3.718e-07          6.45856e-08
  3.719e-07          6.48035e-08
  3.72e-07          6.49723e-08
  3.721e-07          6.53894e-08
  3.722e-07          6.59787e-08
  3.723e-07          6.65723e-08
  3.724e-07          6.71698e-08
  3.725e-07          6.77717e-08
  3.726e-07          6.81246e-08
  3.727e-07          6.8524e-08
  3.728e-07          6.91092e-08
  3.729e-07          6.96971e-08
  3.73e-07          7.02875e-08
  3.731e-07          7.10942e-08
  3.732e-07          7.19073e-08
  3.733e-07          7.23971e-08
  3.734e-07          7.29292e-08
  3.735e-07          7.34644e-08
  3.736e-07          7.36787e-08
  3.737e-07          7.38933e-08
  3.738e-07          7.43303e-08
  3.739e-07          7.47685e-08
  3.74e-07          7.52083e-08
  3.741e-07          7.56907e-08
  3.742e-07          7.61752e-08
  3.743e-07          7.66619e-08
  3.744e-07          7.72456e-08
  3.745e-07          7.78585e-08
  3.746e-07          7.84754e-08
  3.747e-07          7.90956e-08
  3.748e-07          7.97552e-08
  3.749e-07          8.02138e-08
  3.75e-07          8.06745e-08
  3.751e-07          8.09833e-08
  3.752e-07          8.12284e-08
  3.753e-07          8.14735e-08
  3.754e-07          8.18221e-08
  3.755e-07          8.22092e-08
  3.756e-07          8.27868e-08
  3.757e-07          8.33673e-08
  3.758e-07          8.39511e-08
  3.759e-07          8.47286e-08
  3.76e-07          8.55113e-08
  3.761e-07          8.62426e-08
  3.762e-07          8.68824e-08
  3.763e-07          8.75251e-08
  3.764e-07          8.78836e-08
  3.765e-07          8.82435e-08
  3.766e-07          8.86808e-08
  3.767e-07          8.91201e-08
  3.768e-07          8.95612e-08
  3.769e-07          9.00193e-08
  3.77e-07          9.06299e-08
  3.771e-07          9.10441e-08
  3.772e-07          9.14591e-08
  3.773e-07          9.18288e-08
  3.774e-07          9.21988e-08
  3.775e-07          9.27089e-08
  3.776e-07          9.35617e-08
  3.777e-07          9.45185e-08
  3.778e-07          9.54829e-08
  3.779e-07          9.64545e-08
  3.78e-07          9.71066e-08
  3.781e-07          9.7579e-08
  3.782e-07          9.80531e-08
  3.783e-07          9.85293e-08
  3.784e-07          9.8979e-08
  3.785e-07          9.95416e-08
  3.786e-07          1.00195e-07
  3.787e-07          1.00902e-07
  3.788e-07          1.01613e-07
  3.789e-07          1.02327e-07
  3.79e-07          1.03243e-07
  3.791e-07          1.04225e-07
  3.792e-07          1.05213e-07
  3.793e-07          1.06207e-07
  3.794e-07          1.07097e-07
  3.795e-07          1.05434e-07
  3.796e-07          1.05939e-07
  3.797e-07          1.06442e-07
  3.798e-07          1.06979e-07
  3.799e-07          1.07516e-07
  3.8e-07          1.08053e-07
  3.801e-07          1.09572e-07
  3.802e-07          1.11112e-07
  3.803e-07          1.12671e-07
  3.804e-07          1.1425e-07
  3.805e-07          1.15792e-07
  3.806e-07          1.1729e-07
  3.807e-07          1.18805e-07
  3.808e-07          1.20428e-07
  3.809e-07          1.22071e-07
  3.81e-07          1.23732e-07
  3.811e-07          1.2524e-07
  3.812e-07          1.26698e-07
  3.813e-07          1.28172e-07
  3.814e-07          1.29662e-07
  3.815e-07          1.31169e-07
  3.816e-07          1.32993e-07
  3.817e-07          1.34841e-07
  3.818e-07          1.36712e-07
  3.819e-07          1.3868e-07
  3.82e-07          1.40674e-07
  3.821e-07          1.42451e-07
  3.822e-07          1.44247e-07
  3.823e-07          1.46029e-07
  3.824e-07          1.47831e-07
  3.825e-07          1.49653e-07
  3.826e-07          1.51824e-07
  3.827e-07          1.53765e-07
  3.828e-07          1.55729e-07
  3.829e-07          1.57716e-07
  3.83e-07          1.59898e-07
  3.831e-07          1.62071e-07
  3.832e-07          1.64437e-07
  3.833e-07          1.66738e-07
  3.834e-07          1.6907e-07
  3.835e-07          1.71432e-07
  3.836e-07          1.74769e-07
  3.837e-07          1.78507e-07
  3.838e-07          1.82311e-07
  3.839e-07          1.86181e-07
  3.84e-07          1.90165e-07
  3.841e-07          1.95057e-07
  3.842e-07          1.99209e-07
  3.843e-07          2.03422e-07
  3.844e-07          2.0779e-07
  3.845e-07          2.12224e-07
  3.846e-07          2.18954e-07
  3.847e-07          2.26144e-07
  3.848e-07          2.33468e-07
  3.849e-07          2.40928e-07
  3.85e-07          2.48526e-07
  3.851e-07          2.59172e-07
  3.852e-07          2.67041e-07
  3.853e-07          2.78773e-07
  3.854e-07          2.90912e-07
  3.855e-07          3.03344e-07
  3.856e-07          3.23059e-07
  3.857e-07          3.43288e-07
  3.858e-07          3.62015e-07
  3.859e-07          3.81063e-07
  3.86e-07          4.00436e-07
  3.861e-07          4.32595e-07
  3.862e-07          4.65351e-07
  3.863e-07          4.99708e-07
  3.864e-07          5.34813e-07
  3.865e-07          5.7058e-07
  3.866e-07          6.29129e-07
  3.867e-07          6.88966e-07
  3.868e-07          7.50628e-07
  3.869e-07          8.13478e-07
  3.87e-07          8.77727e-07
  3.871e-07          9.82549e-07
  3.872e-07          1.09032e-06
  3.873e-07          1.19751e-06
  3.874e-07          1.30671e-06
  3.875e-07          1.41795e-06
  3.876e-07          1.598e-06
  3.877e-07          1.7814e-06
  3.878e-07          1.97117e-06
  3.879e-07          2.16426e-06
  3.88e-07          2.36131e-06
  3.881e-07          2.68434e-06
  3.882e-07          3.01468e-06
  3.883e-07          3.3519e-06
  3.884e-07          3.70102e-06
  3.885e-07          4.05813e-06
  3.886e-07          4.60417e-06
  3.887e-07          5.16364e-06
  3.888e-07          5.73673e-06
  3.889e-07          6.30622e-06
  3.89e-07          6.87979e-06
  3.891e-07          7.76673e-06
  3.892e-07          8.66955e-06
  3.893e-07          9.59072e-06
  3.894e-07          1.05486e-05
  3.895e-07          1.15269e-05
  3.896e-07          1.30019e-05
  3.897e-07          1.45153e-05
  3.898e-07          1.60626e-05
  3.899e-07          1.76796e-05
  3.9e-07          1.93247e-05
  3.901e-07          2.16634e-05
  3.902e-07          2.40581e-05
  3.903e-07          2.641e-05
  3.904e-07          2.88018e-05
  3.905e-07          3.12341e-05
  3.906e-07          3.47558e-05
  3.907e-07          3.83377e-05
  3.908e-07          4.19993e-05
  3.909e-07          4.57259e-05
  3.91e-07          4.95989e-05
  3.911e-07          5.48371e-05
  3.912e-07          6.01785e-05
  3.913e-07          6.56247e-05
  3.914e-07          7.11771e-05
  3.915e-07          7.6978e-05
  3.916e-07          8.47235e-05
  3.917e-07          9.26456e-05
