#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-gp_bs-65-35_scibs-ri_atm.dat
#
# Science (camssci2) g' bandpass with 65/35 B/S, sci ri, with atmosphere
#
# Characteristics:
#    lambda_0:  5.07119e-07 [central wavelength, in m]
#    w_eff:     6.09848e-08 [effective width, in m]
#    FWHM:      4.85512e-08 [full-width at half max., in m]
#    Trans_max: 0.236174 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0448235 [W/m^3 above atm]
#    f_nu_0:     3.82743e-23 [Jy above atm]
#    f_phot_0:   1.1443e+17 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 8.30791e-08 [W at telescope aperture]
#    F_phot_0:   5.00906e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          1.1283e-07
  3.707e-07          1.12892e-07
  3.708e-07          1.12953e-07
  3.709e-07          1.12896e-07
  3.71e-07          1.12838e-07
  3.711e-07          1.13397e-07
  3.712e-07          1.13928e-07
  3.713e-07          1.14545e-07
  3.714e-07          1.15165e-07
  3.715e-07          1.15788e-07
  3.716e-07          1.15914e-07
  3.717e-07          1.1604e-07
  3.718e-07          1.16184e-07
  3.719e-07          1.16327e-07
  3.72e-07          1.1638e-07
  3.721e-07          1.16316e-07
  3.722e-07          1.16545e-07
  3.723e-07          1.16767e-07
  3.724e-07          1.16981e-07
  3.725e-07          1.17188e-07
  3.726e-07          1.15784e-07
  3.727e-07          1.14437e-07
  3.728e-07          1.13372e-07
  3.729e-07          1.12275e-07
  3.73e-07          1.11149e-07
  3.731e-07          1.1153e-07
  3.732e-07          1.11901e-07
  3.733e-07          1.11752e-07
  3.734e-07          1.11656e-07
  3.735e-07          1.11551e-07
  3.736e-07          1.11643e-07
  3.737e-07          1.11735e-07
  3.738e-07          1.12161e-07
  3.739e-07          1.12586e-07
  3.74e-07          1.1301e-07
  3.741e-07          1.11672e-07
  3.742e-07          1.1031e-07
  3.743e-07          1.08924e-07
  3.744e-07          1.07648e-07
  3.745e-07          1.0638e-07
  3.746e-07          1.05326e-07
  3.747e-07          1.04247e-07
  3.748e-07          1.03189e-07
  3.749e-07          1.01844e-07
  3.75e-07          1.0048e-07
  3.751e-07          1.03606e-07
  3.752e-07          1.06669e-07
  3.753e-07          1.09748e-07
  3.754e-07          1.12987e-07
  3.755e-07          1.16304e-07
  3.756e-07          1.18957e-07
  3.757e-07          1.2164e-07
  3.758e-07          1.24353e-07
  3.759e-07          1.27384e-07
  3.76e-07          1.30456e-07
  3.761e-07          1.31496e-07
  3.762e-07          1.32396e-07
  3.763e-07          1.33299e-07
  3.764e-07          1.33768e-07
  3.765e-07          1.34238e-07
  3.766e-07          1.33078e-07
  3.767e-07          1.31903e-07
  3.768e-07          1.30712e-07
  3.769e-07          1.29528e-07
