#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-ip_bs-65-35_scibs-5050.dat
#
# Science (camssci2) i' bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  7.61643e-07 [central wavelength, in m]
#    w_eff:     1.2975e-07 [effective width, in m]
#    FWHM:      1.40271e-07 [full-width at half max., in m]
#    Trans_max: 0.0579553 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0134586 [W/m^3 above atm]
#    f_nu_0:     2564.83 [Jy above atm]
#    f_phot_0:   5.11371e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 5.30729e-08 [W at telescope aperture]
#    F_phot_0:   1.1687e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          5.12697e-10
  3.707e-07          4.58562e-10
  3.708e-07          4.03949e-10
  3.709e-07          3.48497e-10
  3.71e-07          2.92675e-10
  3.711e-07          2.98754e-10
  3.712e-07          3.04795e-10
  3.713e-07          3.111e-10
  3.714e-07          3.17454e-10
  3.715e-07          3.23854e-10
  3.716e-07          3.7127e-10
  3.717e-07          4.19081e-10
  3.718e-07          4.67367e-10
  3.719e-07          5.16068e-10
  3.72e-07          5.64757e-10
  3.721e-07          5.47977e-10
  3.722e-07          5.32438e-10
  3.723e-07          5.16679e-10
  3.724e-07          5.00696e-10
  3.725e-07          4.84489e-10
  3.726e-07          4.79046e-10
  3.727e-07          4.73826e-10
  3.728e-07          4.69758e-10
  3.729e-07          4.65555e-10
  3.73e-07          4.61214e-10
  3.731e-07          4.99538e-10
  3.732e-07          5.38459e-10
  3.733e-07          5.75361e-10
  3.734e-07          6.12867e-10
  3.735e-07          6.50685e-10
  3.736e-07          5.82418e-10
  3.737e-07          5.13544e-10
  3.738e-07          4.45395e-10
  3.739e-07          3.76211e-10
  3.74e-07          3.05988e-10
  3.741e-07          3.75951e-10
  3.742e-07          4.46798e-10
  3.743e-07          5.18537e-10
  3.744e-07          5.91901e-10
  3.745e-07          6.6657e-10
  3.746e-07          6.42927e-10
  3.747e-07          6.18853e-10
  3.748e-07          5.94614e-10
  3.749e-07          5.68462e-10
  3.75e-07          5.41985e-10
  3.751e-07          5.52561e-10
  3.752e-07          5.62791e-10
  3.753e-07          5.73104e-10
  3.754e-07          5.84239e-10
  3.755e-07          5.95758e-10
  3.756e-07          5.71264e-10
  3.757e-07          5.46416e-10
  3.758e-07          5.21215e-10
  3.759e-07          4.96774e-10
  3.76e-07          4.71852e-10
  3.761e-07          4.81697e-10
  3.762e-07          4.91125e-10
  3.763e-07          5.00657e-10
  3.764e-07          5.08634e-10
  3.765e-07          5.16669e-10
  3.766e-07          5.54937e-10
  3.767e-07          5.93546e-10
  3.768e-07          6.32495e-10
  3.769e-07          6.71901e-10
  3.77e-07          7.12848e-10
  3.771e-07          6.90571e-10
  3.772e-07          6.67973e-10
  3.773e-07          6.44727e-10
  3.774e-07          6.2118e-10
  3.775e-07          5.98231e-10
  3.776e-07          5.90329e-10
  3.777e-07          5.82875e-10
  3.778e-07          5.75242e-10
  3.779e-07          5.67426e-10
  3.78e-07          5.57551e-10
  3.781e-07          5.73493e-10
  3.782e-07          5.89578e-10
  3.783e-07          6.05808e-10
  3.784e-07          6.22004e-10
  3.785e-07          6.39051e-10
  3.786e-07          6.70391e-10
  3.787e-07          7.02417e-10
  3.788e-07          7.34812e-10
  3.789e-07          7.67581e-10
  3.79e-07          8.02258e-10
  3.791e-07          7.59094e-10
  3.792e-07          7.151e-10
  3.793e-07          6.70266e-10
  3.794e-07          6.23943e-10
  3.795e-07          5.63201e-10
  3.796e-07          6.09444e-10
  3.797e-07          6.56337e-10
  3.798e-07          7.04119e-10
  3.799e-07          7.52592e-10
  3.8e-07          8.01764e-10
  3.801e-07          7.57099e-10
  3.802e-07          7.11163e-10
