#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-ip_bs-65-35_scibs-ri_atm.dat
#
# Science (camssci2) i' bandpass with 65/35 B/S, sci ri, with atmosphere
#
# Characteristics:
#    lambda_0:  7.16496e-07 [central wavelength, in m]
#    w_eff:     2.10775e-08 [effective width, in m]
#    FWHM:      1.55179e-08 [full-width at half max., in m]
#    Trans_max: 0.0337274 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0161495 [W/m^3 above atm]
#    f_nu_0:     2.75651e-23 [Jy above atm]
#    f_phot_0:   5.825e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 1.03453e-08 [W at telescope aperture]
#    F_phot_0:   1.25853e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          9.30683e-10
  3.707e-07          8.32411e-10
  3.708e-07          7.33271e-10
  3.709e-07          6.32609e-10
  3.71e-07          5.31277e-10
  3.711e-07          5.42025e-10
  3.712e-07          5.5269e-10
  3.713e-07          5.63826e-10
  3.714e-07          5.75036e-10
  3.715e-07          5.86319e-10
  3.716e-07          6.70734e-10
  3.717e-07          7.555e-10
  3.718e-07          8.40751e-10
  3.719e-07          9.26379e-10
  3.72e-07          1.01161e-09
  3.721e-07          9.74748e-10
  3.722e-07          9.40498e-10
  3.723e-07          9.06247e-10
  3.724e-07          8.71999e-10
  3.725e-07          8.37759e-10
  3.726e-07          8.14185e-10
  3.727e-07          7.91304e-10
  3.728e-07          7.70624e-10
  3.729e-07          7.49966e-10
  3.73e-07          7.29337e-10
  3.731e-07          7.83657e-10
  3.732e-07          8.37939e-10
  3.733e-07          8.88126e-10
  3.734e-07          9.38309e-10
  3.735e-07          9.88024e-10
  3.736e-07          8.82522e-10
  3.737e-07          7.76538e-10
  3.738e-07          6.72079e-10
  3.739e-07          5.66496e-10
  3.74e-07          4.59787e-10
  3.741e-07          5.54665e-10
  3.742e-07          6.4701e-10
  3.743e-07          7.36759e-10
  3.744e-07          8.24863e-10
  3.745e-07          9.10748e-10
  3.746e-07          8.62908e-10
  3.747e-07          8.15642e-10
  3.748e-07          7.69327e-10
  3.749e-07          7.21754e-10
  3.75e-07          6.7504e-10
  3.751e-07          7.06917e-10
  3.752e-07          7.39054e-10
  3.753e-07          7.71995e-10
  3.754e-07          8.06767e-10
  3.755e-07          8.42839e-10
  3.756e-07          8.20853e-10
  3.757e-07          7.97267e-10
  3.758e-07          7.72052e-10
  3.759e-07          7.46865e-10
  3.76e-07          7.19859e-10
  3.761e-07          7.34455e-10
  3.762e-07          7.48402e-10
  3.763e-07          7.6249e-10
  3.764e-07          7.74194e-10
  3.765e-07          7.85971e-10
  3.766e-07          8.32763e-10
  3.767e-07          8.78483e-10
  3.768e-07          9.23112e-10
  3.769e-07          9.66793e-10
  3.77e-07          1.01104e-09
  3.771e-07          9.62025e-10
  3.772e-07          9.13695e-10
  3.773e-07          8.65638e-10
  3.774e-07          8.18355e-10
  3.775e-07          7.73034e-10
  3.776e-07          7.66213e-10
  3.777e-07          7.59884e-10
  3.778e-07          7.53234e-10
  3.779e-07          7.46258e-10
  3.78e-07          7.3647e-10
  3.781e-07          7.65015e-10
  3.782e-07          7.94168e-10
  3.783e-07          8.23937e-10
  3.784e-07          8.54086e-10
  3.785e-07          8.85835e-10
  3.786e-07          9.25276e-10
  3.787e-07          9.65285e-10
  3.788e-07          1.00542e-09
  3.789e-07          1.04567e-09
  3.79e-07          1.08813e-09
  3.791e-07          1.00898e-09
  3.792e-07          9.31094e-10
  3.793e-07          8.5453e-10
  3.794e-07          7.78539e-10
  3.795e-07          6.87465e-10
  3.796e-07          7.31661e-10
  3.797e-07          7.74767e-10
  3.798e-07          8.1702e-10
  3.799e-07          8.58142e-10
  3.8e-07          8.98097e-10
  3.801e-07          8.62469e-10
  3.802e-07          8.23671e-10
  3.803e-07          7.81604e-10
  3.804e-07          7.36168e-10
  3.805e-07          6.8692e-10
  3.806e-07          8.06685e-10
  3.807e-07          9.32699e-10
  3.808e-07          1.06597e-09
  3.809e-07          1.20608e-09
  3.81e-07          1.35322e-09
  3.811e-07          1.28413e-09
  3.812e-07          1.21542e-09
  3.813e-07          1.14787e-09
  3.814e-07          1.08153e-09
  3.815e-07          1.01646e-09
  3.816e-07          1.00603e-09
  3.817e-07          9.94622e-10
  3.818e-07          9.82193e-10
  3.819e-07          9.69227e-10
  3.82e-07          9.55168e-10
  3.821e-07          9.39411e-10
  3.822e-07          9.23229e-10
  3.823e-07          9.06396e-10
  3.824e-07          8.89137e-10
  3.825e-07          8.71445e-10
  3.826e-07          8.47407e-10
  3.827e-07          8.15954e-10
  3.828e-07          7.78387e-10
  3.829e-07          7.34528e-10
  3.83e-07          6.84928e-10
  3.831e-07          8.33312e-10
  3.832e-07          9.89677e-10
  3.833e-07          1.15286e-09
  3.834e-07          1.32355e-09
  3.835e-07          1.50194e-09
  3.836e-07          1.59243e-09
  3.837e-07          1.68358e-09
  3.838e-07          1.7723e-09
  3.839e-07          1.85843e-09
  3.84e-07          1.94227e-09
  3.841e-07          1.88671e-09
  3.842e-07          1.81483e-09
  3.843e-07          1.73461e-09
  3.844e-07          1.64656e-09
  3.845e-07          1.54964e-09
  3.846e-07          1.49669e-09
  3.847e-07          1.44622e-09
  3.848e-07          1.39588e-09
  3.849e-07          1.34569e-09
  3.85e-07          1.29569e-09
  3.851e-07          1.30799e-09
  3.852e-07          1.30383e-09
  3.853e-07          1.31593e-09
  3.854e-07          1.32666e-09
  3.855e-07          1.33536e-09
  3.856e-07          1.40324e-09
  3.857e-07          1.47181e-09
  3.858e-07          1.53246e-09
  3.859e-07          1.59308e-09
  3.86e-07          1.65365e-09
  3.861e-07          1.56646e-09
  3.862e-07          1.47905e-09
  3.863e-07          1.39424e-09
  3.864e-07          1.30891e-09
  3.865e-07          1.22288e-09
  3.866e-07          1.16558e-09
  3.867e-07          1.09568e-09
  3.868e-07          1.01347e-09
  3.869e-07          9.17443e-10
  3.87e-07          8.07448e-10
  3.871e-07          8.78527e-10
  3.872e-07          9.46313e-10
  3.873e-07          1.00758e-09
  3.874e-07          1.06448e-09
  3.875e-07          1.11688e-09
  3.876e-07          1.08389e-09
  3.877e-07          1.05086e-09
  3.878e-07          1.01933e-09
  3.879e-07          9.87355e-10
  3.88e-07          9.55295e-10
  3.881e-07          9.51689e-10
  3.882e-07          9.38165e-10
  3.883e-07          9.14162e-10
  3.884e-07          8.80524e-10
  3.885e-07          8.35602e-10
  3.886e-07          1.20597e-09
  3.887e-07          1.63515e-09
  3.888e-07          2.12521e-09
  3.889e-07          2.67088e-09
  3.89e-07          3.27515e-09
  3.891e-07          3.2501e-09
  3.892e-07          3.22165e-09
  3.893e-07          3.19047e-09
  3.894e-07          3.16167e-09
  3.895e-07          3.12902e-09
  3.896e-07          2.9411e-09
  3.897e-07          2.75037e-09
  3.898e-07          2.55538e-09
  3.899e-07          2.36078e-09
  3.9e-07          2.1595e-09
  3.901e-07          2.23939e-09
  3.902e-07          2.31888e-09
  3.903e-07          2.38886e-09
  3.904e-07          2.45782e-09
  3.905e-07          2.5257e-09
  3.906e-07          2.67091e-09
  3.907e-07          2.80704e-09
  3.908e-07          2.93513e-09
  3.909e-07          3.05369e-09
  3.91e-07          3.16757e-09
  3.911e-07          2.90834e-09
  3.912e-07          2.6562e-09
  3.913e-07          2.41148e-09
  3.914e-07          2.1745e-09
  3.915e-07          1.94915e-09
  3.916e-07          1.90849e-09
  3.917e-07          1.8671e-09
  3.918e-07          1.82361e-09
  3.919e-07          1.77945e-09
  3.92e-07          1.73198e-09
  3.921e-07          1.73549e-09
  3.922e-07          1.73103e-09
  3.923e-07          1.71881e-09
  3.924e-07          1.69859e-09
  3.925e-07          1.67181e-09
  3.926e-07          1.69612e-09
  3.927e-07          1.72076e-09
  3.928e-07          1.74572e-09
  3.929e-07          1.77067e-09
  3.93e-07          1.79821e-09
  3.931e-07          1.85553e-09
  3.932e-07          1.91173e-09
  3.933e-07          1.96736e-09
  3.934e-07          2.02237e-09
  3.935e-07          2.04572e-09
  3.936e-07          1.95603e-09
  3.937e-07          1.86406e-09
  3.938e-07          1.76977e-09
  3.939e-07          1.67339e-09
  3.94e-07          1.5746e-09
  3.941e-07          1.87577e-09
