#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-rp_bs-65-35_scibs-5050.dat
#
# Science (camssci2) r' bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  6.14196e-07 [central wavelength, in m]
#    w_eff:     1.09722e-07 [effective width, in m]
#    FWHM:      1.25892e-07 [full-width at half max., in m]
#    Trans_max: 0.123757 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0256876 [W/m^3 above atm]
#    f_nu_0:     3.22057e-23 [Jy above atm]
#    f_phot_0:   7.94243e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 8.56609e-08 [W at telescope aperture]
#    F_phot_0:   3.2778e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          9.22602e-09
  3.707e-07          9.19583e-09
  3.708e-07          9.16517e-09
  3.709e-07          9.12471e-09
  3.71e-07          9.08387e-09
  3.711e-07          9.17915e-09
  3.712e-07          9.2726e-09
  3.713e-07          9.37342e-09
  3.714e-07          9.47492e-09
  3.715e-07          9.57708e-09
  3.716e-07          9.57288e-09
  3.717e-07          9.56844e-09
  3.718e-07          9.56536e-09
  3.719e-07          9.56202e-09
  3.72e-07          9.55116e-09
  3.721e-07          9.57737e-09
  3.722e-07          9.62845e-09
  3.723e-07          9.67971e-09
  3.724e-07          9.73111e-09
  3.725e-07          9.7827e-09
  3.726e-07          9.9324e-09
  3.727e-07          1.00902e-08
  3.728e-07          1.02769e-08
  3.729e-07          1.0466e-08
  3.73e-07          1.06574e-08
  3.731e-07          1.07361e-08
  3.732e-07          1.0815e-08
  3.733e-07          1.08448e-08
  3.734e-07          1.08806e-08
  3.735e-07          1.09164e-08
  3.736e-07          1.09816e-08
  3.737e-07          1.10471e-08
  3.738e-07          1.11462e-08
  3.739e-07          1.1246e-08
  3.74e-07          1.13465e-08
  3.741e-07          1.13498e-08
  3.742e-07          1.13525e-08
  3.743e-07          1.13546e-08
  3.744e-07          1.13701e-08
  3.745e-07          1.13888e-08
  3.746e-07          1.14863e-08
  3.747e-07          1.15843e-08
  3.748e-07          1.16882e-08
  3.749e-07          1.17628e-08
  3.75e-07          1.18377e-08
  3.751e-07          1.19053e-08
  3.752e-07          1.19638e-08
  3.753e-07          1.20224e-08
  3.754e-07          1.20966e-08
  3.755e-07          1.21768e-08
  3.756e-07          1.22288e-08
  3.757e-07          1.22807e-08
  3.758e-07          1.23328e-08
  3.759e-07          1.24127e-08
  3.76e-07          1.24928e-08
  3.761e-07          1.27008e-08
  3.762e-07          1.28969e-08
  3.763e-07          1.30949e-08
  3.764e-07          1.32517e-08
  3.765e-07          1.34095e-08
  3.766e-07          1.33693e-08
  3.767e-07          1.33284e-08
  3.768e-07          1.32868e-08
  3.769e-07          1.32467e-08
  3.77e-07          1.32278e-08
  3.771e-07          1.33813e-08
  3.772e-07          1.35362e-08
  3.773e-07          1.36854e-08
  3.774e-07          1.38359e-08
  3.775e-07          1.40086e-08
  3.776e-07          1.41503e-08
  3.777e-07          1.4308e-08
  3.778e-07          1.44671e-08
  3.779e-07          1.46275e-08
  3.78e-07          1.47396e-08
  3.781e-07          1.4795e-08
  3.782e-07          1.48505e-08
  3.783e-07          1.49061e-08
  3.784e-07          1.49576e-08
  3.785e-07          1.5026e-08
  3.786e-07          1.5063e-08
  3.787e-07          1.51073e-08
  3.788e-07          1.51514e-08
  3.789e-07          1.51953e-08
  3.79e-07          1.52682e-08
  3.791e-07          1.54412e-08
  3.792e-07          1.56157e-08
  3.793e-07          1.57917e-08
  3.794e-07          1.59526e-08
  3.795e-07          1.5733e-08
  3.796e-07          1.58624e-08
  3.797e-07          1.59925e-08
  3.798e-07          1.61286e-08
  3.799e-07          1.62654e-08
  3.8e-07          1.64031e-08
  3.801e-07          1.65951e-08
  3.802e-07          1.6789e-08
  3.803e-07          1.6985e-08
  3.804e-07          1.7183e-08
  3.805e-07          1.73746e-08
  3.806e-07          1.75702e-08
  3.807e-07          1.77676e-08
  3.808e-07          1.79804e-08
  3.809e-07          1.81952e-08
  3.81e-07          1.8412e-08
  3.811e-07          1.87831e-08
  3.812e-07          1.91498e-08
  3.813e-07          1.95219e-08
  3.814e-07          1.98994e-08
  3.815e-07          2.02824e-08
  3.816e-07          2.02704e-08
  3.817e-07          2.02548e-08
  3.818e-07          2.02355e-08
  3.819e-07          2.02232e-08
  3.82e-07          2.0207e-08
  3.821e-07          2.06087e-08
  3.822e-07          2.1017e-08
  3.823e-07          2.14268e-08
  3.824e-07          2.18433e-08
  3.825e-07          2.22664e-08
  3.826e-07          2.24369e-08
  3.827e-07          2.25699e-08
  3.828e-07          2.2703e-08
  3.829e-07          2.28364e-08
  3.83e-07          2.29945e-08
  3.831e-07          2.33073e-08
  3.832e-07          2.36479e-08
  3.833e-07          2.39792e-08
  3.834e-07          2.43149e-08
  3.835e-07          2.46548e-08
  3.836e-07          2.50792e-08
  3.837e-07          2.55595e-08
  3.838e-07          2.60477e-08
  3.839e-07          2.65439e-08
  3.84e-07          2.70547e-08
  3.841e-07          2.73626e-08
  3.842e-07          2.75578e-08
  3.843e-07          2.77542e-08
  3.844e-07          2.79643e-08
  3.845e-07          2.81757e-08
  3.846e-07          2.82995e-08
  3.847e-07          2.84667e-08
  3.848e-07          2.86335e-08
  3.849e-07          2.88002e-08
  3.85e-07          2.89665e-08
  3.851e-07          2.95821e-08
  3.852e-07          2.98731e-08
  3.853e-07          3.05871e-08
  3.854e-07          3.13284e-08
  3.855e-07          3.2084e-08
  3.856e-07          3.24639e-08
  3.857e-07          3.28466e-08
  3.858e-07          3.30474e-08
  3.859e-07          3.32489e-08
  3.86e-07          3.34512e-08
  3.861e-07          3.37443e-08
  3.862e-07          3.40397e-08
  3.863e-07          3.44061e-08
  3.864e-07          3.47759e-08
  3.865e-07          3.51433e-08
  3.866e-07          3.55647e-08
  3.867e-07          3.59908e-08
  3.868e-07          3.64466e-08
  3.869e-07          3.68977e-08
  3.87e-07          3.73536e-08
  3.871e-07          3.77233e-08
  3.872e-07          3.81156e-08
  3.873e-07          3.84107e-08
  3.874e-07          3.87078e-08
  3.875e-07          3.90068e-08
  3.876e-07          3.9265e-08
  3.877e-07          3.95243e-08
  3.878e-07          3.98446e-08
  3.879e-07          4.01539e-08
  3.88e-07          4.04649e-08
  3.881e-07          4.11496e-08
  3.882e-07          4.1854e-08
  3.883e-07          4.25686e-08
  3.884e-07          4.33514e-08
  3.885e-07          4.41463e-08
  3.886e-07          4.47017e-08
  3.887e-07          4.52634e-08
  3.888e-07          4.58313e-08
  3.889e-07          4.62774e-08
  3.89e-07          4.66812e-08
  3.891e-07          4.72756e-08
  3.892e-07          4.78769e-08
  3.893e-07          4.84966e-08
  3.894e-07          4.92167e-08
  3.895e-07          4.99463e-08
  3.896e-07          5.01986e-08
  3.897e-07          5.0472e-08
  3.898e-07          5.07445e-08
  3.899e-07          5.11175e-08
  3.9e-07          5.14549e-08
  3.901e-07          5.21211e-08
  3.902e-07          5.27945e-08
  3.903e-07          5.3274e-08
  3.904e-07          5.37575e-08
  3.905e-07          5.42454e-08
  3.906e-07          5.46718e-08
  3.907e-07          5.51015e-08
  3.908e-07          5.55589e-08
  3.909e-07          5.602e-08
  3.91e-07          5.65765e-08
  3.911e-07          5.72266e-08
  3.912e-07          5.78838e-08
  3.913e-07          5.85479e-08
  3.914e-07          5.92192e-08
  3.915e-07          6.00074e-08
  3.916e-07          6.05629e-08
  3.917e-07          6.11222e-08
  3.918e-07          6.16389e-08
  3.919e-07          6.21585e-08
  3.92e-07          6.25855e-08
  3.921e-07          6.329e-08
  3.922e-07          6.39868e-08
  3.923e-07          6.46909e-08
  3.924e-07          6.54022e-08
  3.925e-07          6.61861e-08
  3.926e-07          6.67894e-08
  3.927e-07          6.73976e-08
  3.928e-07          6.80107e-08
  3.929e-07          6.86158e-08
  3.93e-07          6.93128e-08
  3.931e-07          7.05068e-08
  3.932e-07          7.16954e-08
  3.933e-07          7.29005e-08
  3.934e-07          7.41225e-08
  3.935e-07          7.42364e-08
  3.936e-07          7.44698e-08
  3.937e-07          7.46981e-08
  3.938e-07          7.49214e-08
  3.939e-07          7.51511e-08
  3.94e-07          7.53756e-08
  3.941e-07          7.61761e-08
  3.942e-07          7.69844e-08
  3.943e-07          7.77643e-08
  3.944e-07          7.85515e-08
  3.945e-07          7.93464e-08
  3.946e-07          8.10103e-08
  3.947e-07          8.27794e-08
  3.948e-07          8.45792e-08
  3.949e-07          8.64104e-08
  3.95e-07          8.82345e-08
  3.951e-07          8.88658e-08
  3.952e-07          8.95009e-08
  3.953e-07          9.01397e-08
  3.954e-07          9.0737e-08
  3.955e-07          9.13373e-08
  3.956e-07          9.21206e-08
  3.957e-07          9.29348e-08
  3.958e-07          9.3756e-08
  3.959e-07          9.45838e-08
  3.96e-07          9.54187e-08
  3.961e-07          9.62267e-08
  3.962e-07          9.70401e-08
  3.963e-07          9.78593e-08
  3.964e-07          9.86223e-08
  3.965e-07          9.93903e-08
  3.966e-07          1.00598e-07
  3.967e-07          1.01662e-07
  3.968e-07          1.02768e-07
  3.969e-07          1.03886e-07
  3.97e-07          1.05015e-07
  3.971e-07          1.06032e-07
  3.972e-07          1.07176e-07
  3.973e-07          1.0833e-07
  3.974e-07          1.09497e-07
  3.975e-07          1.10595e-07
  3.976e-07          1.11891e-07
  3.977e-07          1.13249e-07
  3.978e-07          1.14675e-07
  3.979e-07          1.16118e-07
  3.98e-07          1.17577e-07
  3.981e-07          1.18519e-07
  3.982e-07          1.19274e-07
  3.983e-07          1.20034e-07
  3.984e-07          1.20797e-07
  3.985e-07          1.21521e-07
  3.986e-07          1.22467e-07
  3.987e-07          1.23452e-07
  3.988e-07          1.24444e-07
  3.989e-07          1.25498e-07
  3.99e-07          1.2656e-07
  3.991e-07          1.27939e-07
  3.992e-07          1.29332e-07
  3.993e-07          1.30822e-07
  3.994e-07          1.32328e-07
  3.995e-07          1.33851e-07
  3.996e-07          1.35462e-07
  3.997e-07          1.37091e-07
  3.998e-07          1.38591e-07
  3.999e-07          1.40107e-07
  4e-07          1.41687e-07
  4.001e-07          1.42994e-07
  4.002e-07          1.44311e-07
  4.003e-07          1.45676e-07
  4.004e-07          1.47052e-07
  4.005e-07          1.4844e-07
  4.006e-07          1.49427e-07
  4.007e-07          1.50283e-07
  4.008e-07          1.51153e-07
  4.009e-07          1.52028e-07
  4.01e-07          1.52948e-07
  4.011e-07          1.52666e-07
  4.012e-07          1.52373e-07
  4.013e-07          1.52069e-07
  4.014e-07          1.51782e-07
  4.015e-07          1.51483e-07
  4.016e-07          1.54612e-07
  4.017e-07          1.57678e-07
  4.018e-07          1.60777e-07
  4.019e-07          1.63928e-07
  4.02e-07          1.67113e-07
  4.021e-07          1.68144e-07
  4.022e-07          1.6918e-07
  4.023e-07          1.69987e-07
  4.024e-07          1.70797e-07
  4.025e-07          1.71611e-07
  4.026e-07          1.72309e-07
  4.027e-07          1.7301e-07
  4.028e-07          1.73681e-07
  4.029e-07          1.74375e-07
  4.03e-07          1.7507e-07
  4.031e-07          1.74792e-07
  4.032e-07          1.74503e-07
  4.033e-07          1.74201e-07
  4.034e-07          1.73867e-07
  4.035e-07          1.73485e-07
  4.036e-07          1.7446e-07
  4.037e-07          1.7544e-07
  4.038e-07          1.76424e-07
  4.039e-07          1.77368e-07
  4.04e-07          1.78316e-07
  4.041e-07          1.80968e-07
  4.042e-07          1.8373e-07
  4.043e-07          1.86519e-07
  4.044e-07          1.89337e-07
  4.045e-07          1.92183e-07
  4.046e-07          1.92609e-07
  4.047e-07          1.93031e-07
  4.048e-07          1.93451e-07
  4.049e-07          1.93809e-07
  4.05e-07          1.94165e-07
  4.051e-07          1.9613e-07
  4.052e-07          1.98112e-07
  4.053e-07          2.00171e-07
  4.054e-07          2.02249e-07
  4.055e-07          2.04357e-07
  4.056e-07          2.04842e-07
  4.057e-07          2.05324e-07
  4.058e-07          2.05803e-07
  4.059e-07          2.06279e-07
  4.06e-07          2.06652e-07
  4.061e-07          2.08491e-07
  4.062e-07          2.10345e-07
  4.063e-07          2.12309e-07
  4.064e-07          2.1429e-07
  4.065e-07          2.16287e-07
  4.066e-07          2.18772e-07
  4.067e-07          2.2139e-07
  4.068e-07          2.24033e-07
  4.069e-07          2.26701e-07
  4.07e-07          2.29179e-07
  4.071e-07          2.29179e-07
  4.072e-07          2.2917e-07
  4.073e-07          2.29153e-07
  4.074e-07          2.29171e-07
  4.075e-07          2.29181e-07
  4.076e-07          2.30429e-07
  4.077e-07          2.31683e-07
  4.078e-07          2.3306e-07
  4.079e-07          2.34443e-07
  4.08e-07          2.35835e-07
  4.081e-07          2.38161e-07
  4.082e-07          2.40506e-07
  4.083e-07          2.4287e-07
  4.084e-07          2.45309e-07
  4.085e-07          2.47769e-07
  4.086e-07          2.49413e-07
  4.087e-07          2.51069e-07
  4.088e-07          2.52791e-07
  4.089e-07          2.54525e-07
  4.09e-07          2.56271e-07
  4.091e-07          2.57595e-07
  4.092e-07          2.58809e-07
