#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-rp_bs-65-35_scibs-ri.dat
#
# Science (camssci2) r' bandpass with 65/35 B/S, sci ri, without atmosphere
#
# Characteristics:
#    lambda_0:  6.1288e-07 [central wavelength, in m]
#    w_eff:     1.05894e-07 [effective width, in m]
#    FWHM:      1.20859e-07 [full-width at half max., in m]
#    Trans_max: 0.229203 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0258351 [W/m^3 above atm]
#    f_nu_0:     3.22575e-23 [Jy above atm]
#    f_phot_0:   7.97094e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 8.31467e-08 [W at telescope aperture]
#    F_phot_0:   5.87981e+10 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          1.67477e-08
  3.707e-07          1.66929e-08
  3.708e-07          1.66372e-08
  3.709e-07          1.65636e-08
  3.71e-07          1.64894e-08
  3.711e-07          1.66536e-08
  3.712e-07          1.68142e-08
  3.713e-07          1.6988e-08
  3.714e-07          1.71629e-08
  3.715e-07          1.73387e-08
  3.716e-07          1.72943e-08
  3.717e-07          1.72496e-08
  3.718e-07          1.72072e-08
  3.719e-07          1.71645e-08
  3.72e-07          1.71083e-08
  3.721e-07          1.70363e-08
  3.722e-07          1.70077e-08
  3.723e-07          1.69781e-08
  3.724e-07          1.69475e-08
  3.725e-07          1.69159e-08
  3.726e-07          1.68811e-08
  3.727e-07          1.68509e-08
  3.728e-07          1.6859e-08
  3.729e-07          1.68598e-08
  3.73e-07          1.6853e-08
  3.731e-07          1.68424e-08
  3.732e-07          1.68301e-08
  3.733e-07          1.67401e-08
  3.734e-07          1.66584e-08
  3.735e-07          1.65759e-08
  3.736e-07          1.66401e-08
  3.737e-07          1.67044e-08
  3.738e-07          1.68191e-08
  3.739e-07          1.69341e-08
  3.74e-07          1.70496e-08
  3.741e-07          1.67451e-08
  3.742e-07          1.64396e-08
  3.743e-07          1.61331e-08
  3.744e-07          1.58452e-08
  3.745e-07          1.55608e-08
  3.746e-07          1.54164e-08
