#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-zp_bs-65-35.dat
#
# Science (camssci2) z' bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  9.10985e-07 [central wavelength, in m]
#    w_eff:     1.42219e-07 [effective width, in m]
#    FWHM:      1.43816e-07 [full-width at half max., in m]
#    Trans_max: 0.0450311 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00820882 [W/m^3 above atm]
#    f_nu_0:     2242.86 [Jy above atm]
#    f_phot_0:   3.73358e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 3.54815e-08 [W at telescope aperture]
#    F_phot_0:   7.26706e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  4.999e-07          0
  5e-07          3.47145e-08
  5.001e-07          3.53185e-08
  5.002e-07          3.59244e-08
  5.003e-07          3.65291e-08
  5.004e-07          3.71357e-08
  5.005e-07          3.77537e-08
  5.006e-07          3.16827e-08
  5.007e-07          2.55883e-08
  5.008e-07          1.94702e-08
  5.009e-07          1.33287e-08
  5.01e-07          7.16356e-09
  5.011e-07          1.44249e-08
  5.012e-07          2.17088e-08
  5.013e-07          2.90172e-08
  5.014e-07          3.63501e-08
  5.015e-07          4.37076e-08
  5.016e-07          3.92583e-08
  5.017e-07          3.47938e-08
  5.018e-07          3.03142e-08
  5.019e-07          2.58195e-08
  5.02e-07          2.13095e-08
  5.021e-07          2.45935e-08
  5.022e-07          2.78882e-08
  5.023e-07          3.11937e-08
  5.024e-07          3.45141e-08
  5.025e-07          3.78462e-08
  5.026e-07          3.69542e-08
  5.027e-07          3.60585e-08
  5.028e-07          3.5159e-08
  5.029e-07          3.42551e-08
  5.03e-07          3.33407e-08
  5.031e-07          3.29094e-08
  5.032e-07          3.24765e-08
  5.033e-07          3.20386e-08
  5.034e-07          3.15992e-08
  5.035e-07          3.11582e-08
  5.036e-07          3.75128e-08
  5.037e-07          4.38873e-08
  5.038e-07          5.02814e-08
  5.039e-07          5.66955e-08
  5.04e-07          6.31293e-08
  5.041e-07          5.49355e-08
  5.042e-07          4.67152e-08
  5.043e-07          3.84687e-08
  5.044e-07          3.02019e-08
  5.045e-07          2.19082e-08
  5.046e-07          2.08413e-08
  5.047e-07          1.97704e-08
  5.048e-07          1.86915e-08
  5.049e-07          1.76088e-08
  5.05e-07          1.65204e-08
  5.051e-07          2.00718e-08
  5.052e-07          2.36333e-08
  5.053e-07          2.72047e-08
  5.054e-07          3.07932e-08
  5.055e-07          3.43933e-08
  5.056e-07          3.6371e-08
  5.057e-07          3.83548e-08
  5.058e-07          4.03359e-08
  5.059e-07          4.23223e-08
  5.06e-07          4.43141e-08
  5.061e-07          3.58754e-08
  5.062e-07          2.74125e-08
  5.063e-07          1.89255e-08
  5.064e-07          1.04144e-08
  5.065e-07          1.87911e-09
  5.066e-07          8.85414e-09
  5.067e-07          1.58502e-08
  5.068e-07          2.28673e-08
  5.069e-07          2.99174e-08
  5.07e-07          3.69941e-08
  5.071e-07          3.30139e-08
  5.072e-07          2.90197e-08
  5.073e-07          2.50114e-08
  5.074e-07          2.0989e-08
  5.075e-07          1.69468e-08
  5.076e-07          1.63101e-08
  5.077e-07          1.56716e-08
  5.078e-07          1.50311e-08
  5.079e-07          1.43888e-08
  5.08e-07          1.37447e-08
  5.081e-07          1.62642e-08
