#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-zp_bs-65-35_scibs-5050.dat
#
# Science (camssci2) z' bandpass with 65/35 B/S, without atmosphere
#
# Characteristics:
#    lambda_0:  9.10985e-07 [central wavelength, in m]
#    w_eff:     1.42219e-07 [effective width, in m]
#    FWHM:      1.43816e-07 [full-width at half max., in m]
#    Trans_max: 0.0450311 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.00820883 [W/m^3 above atm]
#    f_nu_0:     2242.86 [Jy above atm]
#    f_phot_0:   3.73359e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 3.54815e-08 [W at telescope aperture]
#    F_phot_0:   7.26706e+09 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          2.53517e-10
  3.707e-07          2.44274e-10
  3.708e-07          2.34944e-10
  3.709e-07          2.25299e-10
  3.71e-07          2.15587e-10
  3.711e-07          1.98426e-10
  3.712e-07          1.81087e-10
  3.713e-07          1.63744e-10
  3.714e-07          1.46252e-10
  3.715e-07          1.28609e-10
  3.716e-07          1.46955e-10
  3.717e-07          1.65455e-10
  3.718e-07          1.84139e-10
  3.719e-07          2.02983e-10
  3.72e-07          2.2182e-10
  3.721e-07          1.92994e-10
  3.722e-07          1.64377e-10
  3.723e-07          1.35393e-10
  3.724e-07          1.06039e-10
  3.725e-07          7.6314e-11
  3.726e-07          7.63655e-11
  3.727e-07          7.64647e-11
  3.728e-07          7.67654e-11
  3.729e-07          7.70624e-11
  3.73e-07          7.73555e-11
  3.731e-07          1.12448e-10
  3.732e-07          1.48121e-10
  3.733e-07          1.83543e-10
  3.734e-07          2.19351e-10
  3.735e-07          2.55465e-10
  3.736e-07          2.00156e-10
  3.737e-07          1.44362e-10
  3.738e-07          8.8346e-11
  3.739e-07          3.14996e-11
  3.74e-07          -2.61833e-11
  3.741e-07          7.99616e-11
  3.742e-07          1.87476e-10
  3.743e-07          2.9637e-10
  3.744e-07          4.07153e-10
  3.745e-07          5.1978e-10
  3.746e-07          4.77506e-10
  3.747e-07          4.34517e-10
  3.748e-07          3.90986e-10
  3.749e-07          3.45805e-10
  3.75e-07          3.00087e-10
  3.751e-07          2.83052e-10
  3.752e-07          2.65604e-10
  3.753e-07          2.47979e-10
  3.754e-07          2.30469e-10
  3.755e-07          2.12832e-10
  3.756e-07          1.99254e-10
