#####################################################################
#  MagAO-X Filter Curve
#
# magaox_sci2-zp_bs-65-35_scibs-ri_atm.dat
#
# Science (camssci2) z' bandpass with 65/35 B/S, sci ri, with atmosphere
#
# Characteristics:
#    lambda_0:  9.1303e-07 [central wavelength, in m]
#    w_eff:     9.59514e-08 [effective width, in m]
#    FWHM:      1.05984e-07 [full-width at half max., in m]
#    Trans_max: 0.00456131 [maximum transmission]
#
# Vega Zero Point Flux Densities (calculated):
#    f_lambda_0: 0.0080887 [W/m^3 above atm]
#    f_nu_0:     2.23962e-23 [Jy above atm]
#    f_phot_0:   3.71781e+16 [photons/s/m^3 above atm]
#
# Vega Zero Point Fluxes (calculated):
#    F_W_0: 2.35882e-08 [W at telescope aperture]
#    F_phot_0:   4.9453e+08 [photons/s at detector]
#
#####################################################################
# lambda [m]             transmission
#-------------------------------------------------
  3.705e-07          0
  3.706e-07          4.60202e-10
  3.707e-07          4.43421e-10
  3.708e-07          4.26485e-10
  3.709e-07          4.08974e-10
  3.71e-07          3.91342e-10
  3.711e-07          3.60002e-10
  3.712e-07          3.28369e-10
  3.713e-07          2.96763e-10
  3.714e-07          2.6492e-10
  3.715e-07          2.32838e-10
  3.716e-07          2.65489e-10
  3.717e-07          2.98275e-10
  3.718e-07          3.31249e-10
  3.719e-07          3.64369e-10
  3.72e-07          3.97331e-10
  3.721e-07          3.433e-10
  3.722e-07          2.90355e-10
  3.723e-07          2.37477e-10
  3.724e-07          1.84676e-10
  3.725e-07          1.31959e-10
  3.726e-07          1.29791e-10
  3.727e-07          1.27698e-10
  3.728e-07          1.25931e-10
  3.729e-07          1.2414e-10
  3.73e-07          1.22326e-10
  3.731e-07          1.76404e-10
  3.732e-07          2.30503e-10
  3.733e-07          2.83317e-10
  3.734e-07          3.3583e-10
  3.735e-07          3.87908e-10
  3.736e-07          3.03291e-10
  3.737e-07          2.18292e-10
  3.738e-07          1.3331e-10
  3.739e-07          4.74319e-11
  3.74e-07          -3.93438e-11
  3.741e-07          1.17973e-10
  3.742e-07          2.71485e-10
  3.743e-07          4.21095e-10
  3.744e-07          5.67401e-10
  3.745e-07          7.10186e-10
  3.746e-07          6.40887e-10
  3.747e-07          5.72689e-10
  3.748e-07          5.05868e-10
  3.749e-07          4.39055e-10
  3.75e-07          3.73757e-10
  3.751e-07          3.62121e-10
  3.752e-07          3.48789e-10
  3.753e-07          3.34038e-10
  3.754e-07          3.18251e-10
  3.755e-07          3.011e-10
  3.756e-07          2.8631e-10
  3.757e-07          2.70641e-10
  3.758e-07          2.5408e-10
  3.759e-07          2.37146e-10
  3.76e-07          2.19205e-10
  3.761e-07          1.98783e-10
  3.762e-07          1.77814e-10
  3.763e-07          1.56537e-10
  3.764e-07          1.34512e-10
  3.765e-07          1.12321e-10
  3.766e-07          1.24127e-10
  3.767e-07          1.35686e-10
  3.768e-07          1.46993e-10
  3.769e-07          1.58071e-10
  3.77e-07          1.69172e-10
  3.771e-07          1.98304e-10
  3.772e-07          2.26667e-10
  3.773e-07          2.54116e-10
  3.774e-07          2.80731e-10
  3.775e-07          3.06959e-10
  3.776e-07          3.01465e-10
  3.777e-07          2.96095e-10
  3.778e-07          2.90526e-10
  3.779e-07          2.84753e-10
  3.78e-07          2.77838e-10
  3.781e-07          3.35419e-10
  3.782e-07          3.9462e-10
  3.783e-07          4.55458e-10
  3.784e-07          5.17807e-10
  3.785e-07          5.82447e-10
  3.786e-07          5.75001e-10
  3.787e-07          5.67798e-10
  3.788e-07          5.60548e-10
  3.789e-07          5.53252e-10
  3.79e-07          5.46957e-10
  3.791e-07          5.50118e-10
  3.792e-07          5.5289e-10
  3.793e-07          5.55263e-10
  3.794e-07          5.5665e-10
  3.795e-07          5.44408e-10
  3.796e-07          4.82786e-10
  3.797e-07          4.22104e-10
  3.798e-07          3.62519e-10
  3.799e-07          3.03909e-10
  3.8e-07          2.46314e-10
  3.801e-07          2.44561e-10
  3.802e-07          2.42414e-10
  3.803e-07          2.39857e-10
  3.804e-07          2.36879e-10
  3.805e-07          2.33349e-10
  3.806e-07          3.22554e-10
  3.807e-07          4.16731e-10
  3.808e-07          5.16429e-10
  3.809e-07          6.2156e-10
  3.81e-07          7.32291e-10
  3.811e-07          6.91913e-10
  3.812e-07          6.51861e-10
  3.813e-07          6.12557e-10
  3.814e-07          5.74037e-10
  3.815e-07          5.36336e-10
  3.816e-07          4.62552e-10
  3.817e-07          3.85365e-10
  3.818e-07          3.04687e-10
  3.819e-07          2.20546e-10
  3.82e-07          1.32643e-10
  3.821e-07          1.93541e-10
  3.822e-07          2.52559e-10
  3.823e-07          3.09518e-10
  3.824e-07          3.64362e-10
  3.825e-07          4.16982e-10
  3.826e-07          3.28612e-10
  3.827e-07          2.29211e-10
  3.828e-07          1.19194e-10
  3.829e-07          -1.73629e-12
  3.83e-07          -1.34025e-10
  3.831e-07          9.87989e-12
  3.832e-07          1.61399e-10
  3.833e-07          3.20704e-10
  3.834e-07          4.88013e-10
  3.835e-07          6.63542e-10
  3.836e-07          7.67565e-10
  3.837e-07          8.70879e-10
  3.838e-07          9.72034e-10
  3.839e-07          1.07087e-09
  3.84e-07          1.16751e-09
  3.841e-07          1.06587e-09
  3.842e-07          9.4968e-10
  3.843e-07          8.23592e-10
  3.844e-07          6.87673e-10
  3.845e-07          5.41226e-10
  3.846e-07          7.00986e-10
  3.847e-07          8.59181e-10
  3.848e-07          1.01482e-09
  3.849e-07          1.16775e-09
  3.85e-07          1.31781e-09
  3.851e-07          1.08093e-09
  3.852e-07          8.41263e-10
  3.853e-07          6.2222e-10
  3.854e-07          4.09437e-10
  3.855e-07          2.02992e-10
  3.856e-07          3.01939e-10
  3.857e-07          4.02138e-10
  3.858e-07          5.00765e-10
  3.859e-07          5.99496e-10
  3.86e-07          6.98309e-10
  3.861e-07          7.21789e-10
  3.862e-07          7.45217e-10
  3.863e-07          7.70118e-10
  3.864e-07          7.95041e-10
  3.865e-07          8.19836e-10
  3.866e-07          7.46974e-10
  3.867e-07          6.7247e-10
  3.868e-07          5.96711e-10
  3.869e-07          5.19011e-10
  3.87e-07          4.39528e-10
  3.871e-07          4.50342e-10
  3.872e-07          4.53147e-10
  3.873e-07          4.46232e-10
  3.874e-07          4.30527e-10
  3.875e-07          4.05773e-10
  3.876e-07          4.11172e-10
  3.877e-07          4.16499e-10
  3.878e-07          4.22383e-10
  3.879e-07          4.28067e-10
  3.88e-07          4.3368e-10
  3.881e-07          4.56449e-10
  3.882e-07          4.78344e-10
  3.883e-07          4.9922e-10
  3.884e-07          5.19731e-10
  3.885e-07          5.39189e-10
  3.886e-07          7.32733e-10
  3.887e-07          9.54986e-10
  3.888e-07          1.20696e-09
  3.889e-07          1.48556e-09
  3.89e-07          1.79248e-09
  3.891e-07          1.77081e-09
  3.892e-07          1.74691e-09
  3.893e-07          1.72115e-09
  3.894e-07          1.69624e-09
  3.895e-07          1.66881e-09
  3.896e-07          1.59895e-09
  3.897e-07          1.52821e-09
  3.898e-07          1.45583e-09
  3.899e-07          1.38455e-09
  3.9e-07          1.31038e-09
  3.901e-07          1.37551e-09
  3.902e-07          1.44039e-09
  3.903e-07          1.4993e-09
  3.904e-07          1.55745e-09
  3.905e-07          1.61479e-09
  3.906e-07          1.46332e-09
  3.907e-07          1.31605e-09
  3.908e-07          1.17366e-09
  3.909e-07          1.03567e-09
  3.91e-07          9.0369e-10
  3.911e-07          8.28805e-10
  3.912e-07          7.56047e-10
  3.913e-07          6.8551e-10
  3.914e-07          6.17287e-10
  3.915e-07          5.52489e-10
  3.916e-07          5.32351e-10
  3.917e-07          5.12291e-10
  3.918e-07          4.9195e-10
  3.919e-07          4.71747e-10
  3.92e-07          4.51003e-10
  3.921e-07          5.18006e-10
  3.922e-07          5.8973e-10
  3.923e-07          6.66402e-10
  3.924e-07          7.48145e-10
  3.925e-07          8.35904e-10
  3.926e-07          7.82763e-10
  3.927e-07          7.27949e-10
  3.928e-07          6.71429e-10
  3.929e-07          6.13054e-10
  3.93e-07          5.53625e-10
  3.931e-07          6.7536e-10
  3.932e-07          7.96342e-10
  3.933e-07          9.1668e-10
  3.934e-07          1.03631e-09
  3.935e-07          1.13791e-09
  3.936e-07          9.95612e-10
