SpT,g,r,i,z,SpT Number
O5V,-1.6668844574143105,0.00779192552202268,0.06710425692368993,0.039440059810216255,0.5
O9V,-1.6279934765450932,0.007562221469449071,0.07006756106654954,0.037840316325073786,0.9
B0V,-1.641684230898143,0.007751667185907252,0.07068983490374414,0.037341323453215836,1.0
B1V,-1.5775019637667107,0.0062819249162693325,0.0752378763489947,0.040157752061757535,1.1
B3V,-1.5555431523524863,0.005690860321809765,0.07925123944995605,0.04125922225322931,1.3
B57V,-1.5260524710500274,0.003340016500773757,0.08078304636206113,0.04099161463794232,1.6
B8V,-1.5189796883710596,0.004157191468154409,0.08117148859751033,0.045820243850407394,1.8
B9V,-1.472675805704176,0.002245605981634924,0.07927071230005112,0.047241111133351055,1.9
A0V,-1.4360292756686608,0.002916830207899679,0.08195729341156266,0.04841626287660894,2.0
A2V,-1.4292063728229483,0.0013181818044802895,0.08444099999453591,0.04969024337826333,2.2
A3V,-1.3922023276293736,0.001743834708813452,0.08536447664932822,0.04793906538559334,2.3
A5V,-1.3480869116401308,0.0013777371884611256,0.08570480697048843,0.0495730500912277,2.5
A7V,-1.3331747060303414,-0.002206341763326236,0.08953573030167483,0.051464988980608695,2.7
F0V,-1.279004325784566,-0.004834654564781715,0.09437576950623949,0.05115678196300877,3.0
F2V,-1.219899218175133,-0.006110189228087037,0.09731827249926361,0.05135429907701017,3.2
F5V,-1.198769030600749,-0.006072210967728253,0.09739336877753146,0.050399964692026344,3.5
F6V,-1.1707375744913637,-0.007448391947635358,0.10003983545021988,0.056590303766975936,3.6
F8V,-1.1398465170204446,-0.008954635802638222,0.10195627768057847,0.05770792906089106,3.8
G0V,-1.1377576003888539,-0.011007341316583208,0.10411725128446037,0.053066831011625126,4.0
G2V,-1.110014644909464,-0.010816867936890517,0.10439240413880135,0.05488114245761366,4.2
G5V,-1.0801375654950007,-0.012723010009954905,0.10359606416185585,0.05649831670160488,4.5
G8V,-1.0612677760499913,-0.012197416879221379,0.1060757799033123,0.056858048693163354,4.8
K0V,-1.028447034333011,-0.013868129019423137,0.10702498585743392,0.057196277720345634,5.0
K2V,-0.9964416745286169,-0.015487678169293417,0.10973666155920725,0.05619747990189339,5.2
K3V,-1.0133326201546335,-0.017079188672751044,0.11332086124260954,0.05402099955414741,5.3
K4V,-0.9392930804187536,-0.01820719855452957,0.11558381224112502,0.060738805609290125,5.4
K5V,-0.9045047510431559,-0.02316720542477313,0.12083870006685693,0.06181827189032418,5.5
K7V,-0.7832142891939942,-0.028298412548986462,0.13287947095885855,0.06420091785728488,5.7
M0V,-0.8293334849776883,-0.027961125347594873,0.1401644713220147,0.06782053094108953,6.0
M1V,-0.7609653290464937,-0.03177682944257043,0.1542913003950961,0.07139838218386707,6.1
M2V,-0.7006882372698549,-0.041202976079491194,0.15883259680006745,0.07373445437856851,6.2
M2.5V,-0.6642051935438218,-0.0447374769911697,0.18068241123650708,0.07171535145694463,6.2
