Focal plane radial distance at f/69 (m),unapod_272_Lg1,apod_272_Lg1,unapod_272_Lg2,apod_272_Lg2,unapod_272_Sm,apod_272_Sm,unapod_453_Lg1,apod_453_Lg1,unapod_453_Lg2,apod_453_Lg2,unapod_453_Sm,apod_453_Sm
1.6165714285714286e-06,0.0009875344169650467,0.0005787475443545512,7.294858216835907e-05,0.00010687371018980228,0.0008746913630109493,0.00011908199330736757,0.00010163130525483785,8.496016253066254e-05,5.324312030574595e-06,8.103635732943017e-05,6.202101618637676e-05,0.0002653868260185908
4.8497142857142855e-06,0.0009301490401729819,0.0005713753270223326,6.724487510367355e-05,0.0001092891758671034,0.0008456647887066845,0.00011292112266846215,9.741896698279974e-05,8.322659957417067e-05,5.396185181722556e-06,7.859385775732883e-05,6.059773257834214e-05,0.0002545268248045358
8.082857142857142e-06,0.0008400809138599431,0.0005594385860454719,5.8523307078358843e-05,0.00011335368418287067,0.0007987773727547232,0.00010315769633733876,9.070187530849906e-05,8.038285469174033e-05,5.503191885357933e-06,7.463395557639411e-05,5.827054388259096e-05,0.0002371275243208146
1.1316e-05,0.0007739147129535451,0.0005498745473111291,5.2263304076947044e-05,0.00011643363049973696,0.000763185895622413,9.594802466806118e-05,8.57086311793283e-05,7.820283440317947e-05,5.637037027701052e-06,7.163345704018483e-05,5.648215688510726e-05,0.00022401832791737016
1.4549142857142856e-05,0.0006613562139333258,0.0005334880707699645,4.2134413818592735e-05,0.0001224207813505439,0.0006999739213230298,8.346018350350568e-05,7.69585669807451e-05,7.422099714584742e-05,5.769922095684496e-06,6.625186095036035e-05,5.324567656337266e-05,0.00020105080159691242
1.7782285714285713e-05,0.0005069016361703177,0.0005073256954606452,2.921480735769027e-05,0.0001315290905922055,0.0006063906891796104,6.606390041826125e-05,6.453156777604402e-05,6.815689870828858e-05,6.124267065420133e-06,5.828549274619868e-05,4.831596189080377e-05,0.00016769765576494567
2.101542857142857e-05,0.0003566083480120653,0.00047702141768140834,1.8180849678693732e-05,0.00014191399489070142,0.0005050805148958642,4.8744090138324606e-05,5.177652246857321e-05,6.13150049580062e-05,6.616515141028033e-06,4.96500290583105e-05,4.277017107527111e-05,0.0001326076918133941
2.4248571428571428e-05,0.00026984174917256924,0.0004571065421507912,1.3162049346399155e-05,0.00014970256961359808,0.0004383551839624043,3.839448361903032e-05,4.375996876408878e-05,5.6539238850303924e-05,6.823456815864957e-06,4.388692491654749e-05,3.894045709476021e-05,0.00011032884032371729
2.7481714285714286e-05,0.00015853603952757162,0.00042385865771099346,8.599617262177342e-06,0.00016145512027953532,0.00033908852580328397,2.4952854930618108e-05,3.266751210789737e-05,4.910728078084602e-05,7.34595202789094e-06,3.5368265694094605e-05,3.29703156912807e-05,7.842630333079598e-05
3.071485714285714e-05,8.07669591292113e-05,0.0003919364481734682,8.433294602741218e-06,0.000173733920166291,0.0002488707004046752,1.539285927886469e-05,2.3350641825557747e-05,4.16923962459264e-05,7.637778168046075e-06,2.7497590465983038e-05,2.708578555798144e-05,5.130000013395582e-05
3.3947999999999994e-05,4.452671250973128e-05,0.0003633345833271575,9.666124501043425e-06,0.0001771888147816293,0.00019610230060054595,1.1171994496853958e-05,1.940183401861173e-05,3.7740832508363144e-05,8.92301197719327e-06,2.3701982030993598e-05,2.3628315701970186e-05,3.63748809544165e-05
3.718114285714286e-05,2.0912494119687748e-05,0.0003377312782331835,1.53931970256139e-05,0.00018988180182702527,0.00012914365649181663,8.963867950744765e-06,1.3457089453715985e-05,3.106173304864733e-05,8.637684057810895e-06,1.7635252234910984e-05,1.8349095757204805e-05,1.9516681342676303e-05
4.041428571428571e-05,1.654418408661192e-05,0.0003018378181236269,2.1376503969379568e-05,0.00019373729657197364,7.743658832767409e-05,1.0103228338484933e-05,1.0801295156328688e-05,2.5952368828459963e-05,9.602709977087096e-06,1.4009373211855826e-05,1.3988773972748361e-05,8.62220019318841e-06
4.3647428571428574e-05,2.7872194441614987e-05,0.00027192631936759414,2.829602132201356e-05,0.0001938443889285411,4.6983865568806165e-05,1.3586610457383751e-05,1.1478611188725492e-05,2.389564599600236e-05,1.1437573943925268e-05,1.3413818836071065e-05,1.1221812656718602e-05,4.493963995475515e-06
4.6880571428571424e-05,4.3265607548852034e-05,0.0002503518348739491,3.2893633946245106e-05,0.0001951440081015534,2.7075733207752722e-05,1.8718157244071214e-05,1.0805775190553759e-05,2.063398760369183e-05,1.1202659341911048e-05,1.1993013622782742e-05,8.537033779459207e-06,3.439098417891941e-06
5.011371428571429e-05,6.89952454762389e-05,0.0002199167061451771,3.9821836780233765e-05,0.00019219186227579572,1.6331679581143604e-05,2.8213255925758883e-05,1.313285022305878e-05,1.9504131790151534e-05,1.2535726933500343e-05,1.3366286158841308e-05,6.117159545230108e-06,7.145174327381061e-06
5.334685714285714e-05,8.942480452275936e-05,0.0001907550249140258,4.464588613636359e-05,0.00018231084243637517,2.068922250343221e-05,3.717319891595174e-05,1.713309409215453e-05,2.0888538650729693e-05,1.4449613300265884e-05,1.7076262999964462e-05,5.156548149364333e-06,1.4508043482008776e-05
5.6580000000000004e-05,0.00010158309695578917,0.0001684402592932995,4.813574844180757e-05,0.00016949901384342498,2.9646401127556827e-05,4.216164603961078e-05,2.2156441229081798e-05,2.4754981747049785e-05,1.7130922363433326e-05,2.2286044790435426e-05,5.629162766675698e-06,2.1819245454797047e-05
5.9813142857142855e-05,0.00010236558437415773,0.0001564742768084351,4.982601067579972e-05,0.00016437157578052207,5.0695836877013884e-05,5.130498823121573e-05,2.320401557896636e-05,2.597343348984732e-05,1.7206978134286248e-05,2.4844325592635154e-05,5.267043928675879e-06,2.9203713057283227e-05
6.30462857142857e-05,9.957923190866827e-05,0.00012982505402879326,5.096319233210137e-05,0.0001418068835051105,7.278929804112746e-05,5.4926255825351546e-05,2.7921462249647572e-05,3.144541182567107e-05,1.961928566994265e-05,3.1529077749763634e-05,6.826830583770144e-06,3.8339072910339875e-05
6.627942857142857e-05,0.00010743201805579319,0.00011872405394531113,6.48398855461223e-05,0.00012759438376977645,9.712912417405088e-05,5.745467803533345e-05,4.060340249266363e-05,4.76745369508973e-05,2.9092531412376833e-05,4.5952762751143574e-05,1.1005992774196329e-05,4.873319881999422e-05
6.951257142857143e-05,8.799558066596255e-05,0.00011114336921433986,6.627841252097642e-05,0.0001182774691779811,0.00012649111646129474,6.127063096023245e-05,3.6912925053512735e-05,4.6796043588099456e-05,2.6893291280374534e-05,4.5364978180993157e-05,1.122820332078107e-05,5.0679272111425224e-05
7.274571428571428e-05,8.090197322863226e-05,9.361088483479055e-05,7.327702049987487e-05,9.626177178723132e-05,0.00014635823906363791,5.774905855705603e-05,4.0780856206648115e-05,5.492706709553149e-05,3.032122926869858e-05,5.2378630365071846e-05,1.429779101463498e-05,5.440472694450284e-05
7.597885714285714e-05,9.434129681408427e-05,9.851298881227291e-05,9.926443614303857e-05,9.36116141416644e-05,0.00017271281295540153,5.744649030369984e-05,4.909610847920271e-05,6.890102156973686e-05,3.881893397315573e-05,6.267592533575689e-05,1.845889407980141e-05,5.630666264581864e-05
7.9212e-05,0.00010135518230526407,9.456934219380268e-05,0.00010872273927770562,8.418834649877573e-05,0.0001724502537983479,5.018636383676712e-05,5.6566347653050926e-05,8.21111454628097e-05,4.624893154559888e-05,7.283870950463465e-05,2.2865354256191485e-05,5.8001657801995893e-05
8.244514285714286e-05,0.0001221922298061738,9.722657833286866e-05,0.0001336826336239865,8.441003862198902e-05,0.0001923790933160938,4.907427435858734e-05,5.476279187059646e-05,8.244321324709485e-05,4.691912568529905e-05,7.157359257965408e-05,2.37993148432223e-05,5.2253533379451835e-05
8.567828571428571e-05,0.00014439311633533577,9.697134060779183e-05,0.00014756944583802411,8.212418147589437e-05,0.00018556202729857525,4.07617719998338e-05,5.646876829858844e-05,8.794351134815191e-05,5.049125626629052e-05,7.465125819810823e-05,2.6518880334525244e-05,4.771535679780551e-05
8.891142857142857e-05,0.00018746363554498935,0.0001284328280694724,0.0001795970307321808,0.00010986081038441129,0.00018530223240572862,4.0962130746765775e-05,7.031103403381598e-05,0.00010714133977430969,6.51521710358127e-05,8.875971722190568e-05,3.202598443262317e-05,4.796349719986064e-05
9.214457142857143e-05,0.00022188097430572216,0.00012833558187578961,0.0001990954027360805,0.00011308024576125688,0.00018522319889023738,3.7925252270891155e-05,6.588747600961387e-05,0.00010101979404531106,6.27288385242075e-05,8.31815569376416e-05,3.1277854726843114e-05,4.056777897607612e-05
9.53777142857143e-05,0.00023509914355184045,0.0001289860434584062,0.00019412592234971574,0.00011822568227623882,0.00016002381078915643,3.079191436261886e-05,5.9361410560470464e-05,9.303281947478279e-05,5.858229761757373e-05,7.584602588657506e-05,3.0131839769201395e-05,3.3062143407512824e-05
9.861085714285715e-05,0.00028034334936278583,0.00016917830066798478,0.0002261809906079599,0.00015881297152513035,0.00016090777093457725,3.773380677954708e-05,7.239771593748443e-05,0.0001073781233665164,7.159643900795513e-05,8.849760096573361e-05,3.408927302061588e-05,3.60790882127703e-05
