Angular separation (lambda/D),unapod_272_Lg1,apod_272_Lg1,unapod_272_Lg2,apod_272_Lg2,unapod_272_Sm,apod_272_Sm,unapod_453_Lg1,apod_453_Lg1,unapod_453_Lg2,apod_453_Lg2,unapod_453_Sm,apod_453_Sm
0.0,0.017501285790586737,0.011640421329829868,0.011032306582648865,0.008674186672891127,0.004664062558084976,0.002781469430274578,0.005333607310966232,0.005378450781022686,0.004448432913772284,0.004823224822511051,0.0026020810550590324,0.0031148944803355023
0.25,0.017472529477892962,0.011467386287306109,0.010989661750276193,0.008488775029353671,0.004503903030511878,0.002746684100393826,0.005689422637147579,0.005401739261393426,0.004673009337867309,0.004844911359100546,0.0027537544546999866,0.0031348560007350666
0.5,0.01715134265044656,0.01084551946215239,0.0107418487097163,0.007947556052114134,0.004179126351637983,0.002626977399230457,0.00650273213980155,0.005366465645849556,0.005222957044003188,0.004800085892641609,0.00311168871984495,0.003116450971510239
0.75,0.0161560911639584,0.009838171570194709,0.01005369124366107,0.007246646244258808,0.003764013531791735,0.0025257636694448254,0.0072096055917092545,0.005189112841591495,0.00574942419103223,0.004591377266473692,0.0034430986194346406,0.0029514172331178853
1.0,0.015254099104948562,0.008883345166207248,0.009478896410722026,0.006686310976885844,0.0032191536963150132,0.002604444941731716,0.007492662640281089,0.005083084539149375,0.005962188601875783,0.004416880603097147,0.0035800402633932834,0.002701854112239258
1.25,0.0173044071718603,0.008273063695441087,0.011279453398482662,0.006339365529211644,0.0033743151212100465,0.002734586525372553,0.0076823815090530795,0.005335661003662277,0.006042911955931856,0.004567506919080087,0.0036117741477380153,0.002565813593720887
1.5,0.024626978688860938,0.008506541502664666,0.017445073001479138,0.0066248172075952854,0.005648746984628003,0.0028349227568462932,0.008284664448056128,0.005880598652704827,0.006427494862657293,0.005013547226574779,0.0037454144141172334,0.002643597954648729
1.75,0.03438532561174458,0.014131677634125385,0.025689774369643554,0.011665371487593,0.009534800884900484,0.005169040288921783,0.009163212560716272,0.006359778128285387,0.007087541905648072,0.005440225585035328,0.003977171349294518,0.002829773089594039
2.0,0.040570967045635196,0.03858715357698745,0.03080728628531277,0.033432579565220784,0.012170025081311212,0.01704099793975863,0.00976816251370776,0.0066226038871203385,0.007565274510097339,0.00569344236919508,0.004137672148543016,0.0029724920781535715
2.25,0.04598399250170533,0.10067261375562295,0.03497634203540386,0.08879057284980002,0.013862654793893921,0.04886370893799089,0.01009982897661433,0.006936481950377954,0.00779535325102662,0.005976508453012122,0.0042426960256057794,0.0030642006772922162
2.5,0.07112366721463957,0.20797715744867698,0.05610071802065045,0.1849711456571235,0.024183345175747502,0.10521988010427587,0.010520853430284142,0.007706295651265428,0.008077258029682855,0.006617701517194258,0.004410034896879727,0.003238894800949042
2.75,0.14267883154568634,0.340690150657382,0.11844228846761973,0.30474711937204535,0.05798975941874355,0.17599705088397433,0.010689079341747338,0.009328695523820598,0.00815510026523942,0.007957887618685315,0.0044534483716238546,0.00371352787381338
3.0,0.26617125870552355,0.4581453714727661,0.2283064616748196,0.4115176682925903,0.12091850715449537,0.23947382594421276,0.010316341812277642,0.012657430637505108,0.007743091178958084,0.010771128464291272,0.004265068086840677,0.0049802421119058615
3.25,0.41162431332625005,0.5298105592896155,0.35998804463396694,0.4770299341770312,0.19920481733950057,0.2787415152709163,0.011349781883115745,0.02000031306479586,0.008438943330579797,0.01717423255982437,0.004753356301847796,0.008377236788811306
3.5,0.5327679162926087,0.5608472336879023,0.47161274591492564,0.5053396137068398,0.26761772422611324,0.2959992772012306,0.016735456176079827,0.0364043667312611,0.012823786219133696,0.03183025019544447,0.007182863927659273,0.01683107971465486
3.75,0.6034097959153865,0.582604543668683,0.5380061900187407,0.5251039160443589,0.3095669383882037,0.30827567874346373,0.0252027189708782,0.07008730403224467,0.019882334099614887,0.06235012213446013,0.010721837033438734,0.03495591349713164
4.0,0.6337519365841354,0.6175922266166509,0.5670901150054776,0.5574826428808144,0.32866873633456223,0.32837575790645773,0.031016698787000765,0.12922512199375819,0.024499043365816462,0.11628956305692854,0.012415021550160004,0.06713180162517197
4.25,0.6520328032197722,0.6591157182148756,0.5845594147539267,0.5964807441406564,0.3404971138456587,0.3526336813547216,0.03506017187569548,0.21406704610740734,0.027171252393378458,0.1938706749364051,0.012717035509678861,0.11332890766126234
